OR952892.1 	Aselliscus stoliczkanus
JX174437.1 	Bos grunniens
MW404257.1 	Bos taurus
MW404258.1 	Bos taurus
MW404260.1 	Bos taurus
MG252779.1 	Bos taurus
JQ798171.1 	Bos taurus
BK066814.1 	Candidatus Ichthyocystis sparus
OQ836189.1 	Canis lupus familiaris
KT326919.1 	Canis lupus familiaris
JQ754321.1 	Canis lupus familiaris
OR915589.1 	Caracal caracal
MH625918.1 	Equus asinus
OR952777.1 	Hipposideros armiger
OR952858.1 	Hipposideros larvatus
OR952888.1 	Hipposideros pomona
NC_001691.1 	Homo sapiens
NC_001576.1 	Homo sapiens
OQ930234.1 	Homo sapiens
PP718716.1 	Homo sapiens
BK066363.1 	Homo sapiens
OP721228.1 	Homo sapiens
OP577477.1 	Homo sapiens
MW535770.1 	Homo sapiens
MK645900.1 	Homo sapiens
MK620843.1 	Homo sapiens
MK080568.2 	Homo sapiens
MH972558.1 	Homo sapiens
MH675888.2 	Homo sapiens
MH777153.2 	Homo sapiens
MH777158.2 	Homo sapiens
MH777160.2 	Homo sapiens
MH777161.1 	Homo sapiens
MH777167.2 	Homo sapiens
MH777168.2 	Homo sapiens
MH777175.1 	Homo sapiens
MH777182.2 	Homo sapiens
MH777188.2 	Homo sapiens
MH777194.1 	Homo sapiens
MH777196.2 	Homo sapiens
MH777199.2 	Homo sapiens
MH777212.2 	Homo sapiens
MH777220.2 	Homo sapiens
MH777222.1 	Homo sapiens
MH777223.2 	Homo sapiens
MH777232.2 	Homo sapiens
MH777233.2 	Homo sapiens
MH777236.2 	Homo sapiens
MH777237.2 	Homo sapiens
MH777238.1 	Homo sapiens
MH777251.2 	Homo sapiens
MH777257.2 	Homo sapiens
MH777258.2 	Homo sapiens
MH777259.2 	Homo sapiens
MH777292.2 	Homo sapiens
MH777297.1 	Homo sapiens
MH777302.1 	Homo sapiens
MH777304.1 	Homo sapiens
MH777306.1 	Homo sapiens
MH777307.2 	Homo sapiens
MH777311.2 	Homo sapiens
MH777312.2 	Homo sapiens
MH777315.2 	Homo sapiens
MH777318.1 	Homo sapiens
MH777331.2 	Homo sapiens
MH777332.2 	Homo sapiens
MH777334.1 	Homo sapiens
MH777346.2 	Homo sapiens
MH777350.2 	Homo sapiens
MH777352.2 	Homo sapiens
MH777356.2 	Homo sapiens
MH777366.1 	Homo sapiens
MH777377.2 	Homo sapiens
MH777379.2 	Homo sapiens
MH777388.2 	Homo sapiens
MH460956.1 	Homo sapiens
MH172376.1 	Homo sapiens
MH172378.1 	Homo sapiens
KR816172.1 	Homo sapiens
KR816177.1 	Homo sapiens
KR816178.1 	Homo sapiens
KR816181.1 	Homo sapiens
KR816182.1 	Homo sapiens
KR816183.1 	Homo sapiens
MF509817.1 	Homo sapiens
MF588676.1 	Homo sapiens
MF588677.1 	Homo sapiens
MF588681.1 	Homo sapiens
MF588685.1 	Homo sapiens
MF588686.1 	Homo sapiens
MF588687.1 	Homo sapiens
MF588701.1 	Homo sapiens
MF588704.1 	Homo sapiens
MF588706.1 	Homo sapiens
MF588715.1 	Homo sapiens
MF588719.1 	Homo sapiens
MF588729.1 	Homo sapiens
MF588735.1 	Homo sapiens
MF588741.1 	Homo sapiens
MF588743.1 	Homo sapiens
MF588745.1 	Homo sapiens
MF588746.1 	Homo sapiens
MF588750.1 	Homo sapiens
MF588751.1 	Homo sapiens
MF588772.1 	Homo sapiens
MF588793.1 	Homo sapiens
MF356498.1 	Homo sapiens
KY969593.1 	Homo sapiens
KY652675.1 	Homo sapiens
KY242583.1 	Homo sapiens
KT698166.1 	Homo sapiens
KT698167.1 	Homo sapiens
KR029094.1 	Homo sapiens
KR029095.1 	Homo sapiens
KR029096.1 	Homo sapiens
KP692116.1 	Homo sapiens
JF304768.1 	Homo sapiens
KF006398.1 	Homo sapiens
KC108722.1 	Homo sapiens
JX413108.1 	Homo sapiens
JX413110.1 	Homo sapiens
JX444072.1 	Homo sapiens
HM999995.1 	Homo sapiens
HM999997.1 	Homo sapiens
JF966375.1 	Homo sapiens
GQ845444.1 	Homo sapiens
FN677755.1 	Homo sapiens
FN547152.2 	Homo sapiens
AJ620205.1 	Homo sapiens
MK620328.1 	Larus smithsonianus
AY904722.1 	Lynx rufus
