library,taxid,V6
DRR319698,75329,Misgurnus anguillicaudatus
DRR336006,7091,Bombyx mori
ERR164659,813,Chlamydia trachomatis
ERR1301447,1070528,viral metagenome
ERR1301521,1070528,viral metagenome
ERR1301530,1070528,viral metagenome
ERR1301851,1070528,viral metagenome
ERR2756792,9430,Desmodus rotundus
ERR3209766,256318,metagenome
ERR3209929,256318,metagenome
ERR3675758,256318,metagenome
ERR5084170,256318,metagenome
ERR7565663,408170,human gut metagenome
ERR10188009,1616037,milk metagenome
ERR10188014,1616037,milk metagenome
ERR10188083,1616037,milk metagenome
ERR10188112,1616037,milk metagenome
ERR10188114,1616037,milk metagenome
ERR10188115,1616037,milk metagenome
ERR10188211,1616037,milk metagenome
ERR10188212,1616037,milk metagenome
SRR2063938,1213622,bat metagenome
SRR2005651,539655,human skin metagenome
SRR4201718,1070528,viral metagenome
SRR4201715,1070528,viral metagenome
SRR5450932,1610892,Tachysurus fulvidraco x Tachysurus vachelli
SRR6216855,539655,human skin metagenome
SRR7687704,539655,human skin metagenome
SRR7687705,539655,human skin metagenome
SRR7687706,539655,human skin metagenome
SRR7687707,539655,human skin metagenome
SRR7687708,539655,human skin metagenome
SRR7687709,539655,human skin metagenome
SRR7734125,256318,metagenome
SRR7802447,1338477,skin metagenome
SRR7802337,1338477,skin metagenome
SRR7802309,1338477,skin metagenome
SRR8379619,1611729,Triturus ivanbureschi
SRR8434718,3832,Cyamopsis tetragonoloba
SRR9040412,408170,human gut metagenome
SRR10902309,73337,Ceratotherium simum simum
SRR11569213,1338477,skin metagenome
SRR11569199,1338477,skin metagenome
SRR11743604,337630,Malapterurus electricus
SRR11842090,89462,Bubalus bubalis
SRR15046105,7955,Danio rerio
SRR12532606,101364,Carassius gibelio
SRR12596806,151332,Prunus mira
SRR12604243,80462,Takydromus septentrionalis
SRR12851781,8049,Gadus morhua
SRR13233423,9615,Canis lupus familiaris
SRR13233212,9615,Canis lupus familiaris
SRR13235220,9615,Canis lupus familiaris
SRR13235493,9615,Canis lupus familiaris
SRR13235485,9615,Canis lupus familiaris
SRR13789819,256318,metagenome
SRR13789207,256318,metagenome
SRR13789197,256318,metagenome
SRR13790117,256318,metagenome
SRR13790114,256318,metagenome
SRR13789839,256318,metagenome
SRR13789294,256318,metagenome
SRR13726049,256318,metagenome
SRR13789912,256318,metagenome
SRR13725757,256318,metagenome
SRR13725758,256318,metagenome
SRR13726042,256318,metagenome
SRR13765808,9305,Sarcophilus harrisii
SRR14611555,870726,food metagenome
SRR14739427,2019457,Spilogale pygmaea
SRR14825199,539655,human skin metagenome
SRR14825066,539655,human skin metagenome
SRR14864829,171651,Phrynocephalus versicolor
SRR14864793,171651,Phrynocephalus versicolor
SRR15899493,539655,human skin metagenome
SRR16611435,10042,Peromyscus maniculatus
SRR17035106,749906,gut metagenome
SRR17035102,749906,gut metagenome
SRR17300594,655179,air metagenome
SRR17548765,539655,human skin metagenome
SRR18400698,9615,Canis lupus familiaris
SRR21770678,9615,Canis lupus familiaris
SRR18443299,9615,Canis lupus familiaris
SRR18442868,9615,Canis lupus familiaris
SRR18483908,9615,Canis lupus familiaris
SRR18400216,9615,Canis lupus familiaris
SRR18442503,9615,Canis lupus familiaris
SRR19145070,408170,human gut metagenome
SRR19431669,2894026,Dendrortyx leucophrys hypospodius
SRR19505656,1595979,tick metagenome
SRR20028133,256318,metagenome
SRR21231055,8255,Paralichthys olivaceus
SRR21974026,539655,human skin metagenome
SRR22071730,1070528,viral metagenome
SRR22071722,1070528,viral metagenome
SRR22071715,1070528,viral metagenome
SRR23881955,1616037,milk metagenome
SRR25288535,1213622,bat metagenome
SRR25288489,1213622,bat metagenome
SRR25288841,1213622,bat metagenome
SRR25288726,1213622,bat metagenome
SRR25288621,1213622,bat metagenome
SRR25288812,1213622,bat metagenome
SRR25661650,321085,Circaetus cinereus
SRR25936516,539655,human skin metagenome
SRR26848396,256318,metagenome
SRR27078527,256318,metagenome
