id,label,xref
DOID:0001816,angiosarcoma,ICDO:9120/3
DOID:0001816,angiosarcoma,MESH:D006394
DOID:0001816,angiosarcoma,NCI:C3088
DOID:0001816,angiosarcoma,NCI:C9275
DOID:0001816,angiosarcoma,SNOMEDCT_US_2023_03_01:39000009
DOID:0001816,angiosarcoma,UMLS_CUI:C0018923
DOID:0001816,angiosarcoma,UMLS_CUI:C0854893
DOID:0050387,nonpapillary renal cell carcinoma,MIM:144700
DOID:0050458,juvenile myelomonocytic leukemia,GARD:9884
DOID:0050458,juvenile myelomonocytic leukemia,ICD10CM:C93.3
DOID:0050458,juvenile myelomonocytic leukemia,ICDO:9946/3
DOID:0050458,juvenile myelomonocytic leukemia,MESH:D054429
DOID:0050458,juvenile myelomonocytic leukemia,MIM:607785
DOID:0050458,juvenile myelomonocytic leukemia,NCI:C9233
DOID:0050458,juvenile myelomonocytic leukemia,SNOMEDCT_US_2023_03_01:445227008
DOID:0050458,juvenile myelomonocytic leukemia,UMLS_CUI:C0349639
DOID:0050523,adult T-cell leukemia/lymphoma,GARD:13103
DOID:0050523,adult T-cell leukemia/lymphoma,ICD10CM:C91.5
DOID:0050523,adult T-cell leukemia/lymphoma,ICDO:9827/3
DOID:0050523,adult T-cell leukemia/lymphoma,MESH:D015459
DOID:0050523,adult T-cell leukemia/lymphoma,NCI:C3184
DOID:0050523,adult T-cell leukemia/lymphoma,SNOMEDCT_US_2023_03_01:77430005
DOID:0050523,adult T-cell leukemia/lymphoma,UMLS_CUI:C0023493
DOID:0050547,familial medullary thyroid carcinoma,MESH:C536911
DOID:0050547,familial medullary thyroid carcinoma,MIM:155240
DOID:0050619,paranasal sinus cancer,MESH:D010255
DOID:0050619,paranasal sinus cancer,NCI:C6014
DOID:0050619,paranasal sinus cancer,NCI:C6017
DOID:0050619,paranasal sinus cancer,NCI:C6018
DOID:0050619,paranasal sinus cancer,NCI:C6019
DOID:0050619,paranasal sinus cancer,NCI:C8193
DOID:0050619,paranasal sinus cancer,SNOMEDCT_US_2023_03_01:1255092002
