"acc","librarysource"
"SRR10044872","TRANSCRIPTOMIC"
"SRR21148508","GENOMIC"
"SRR12709147","GENOMIC"
"SRR12709872","GENOMIC"
"SRR15442433","METAGENOMIC"
"SRR16368188","GENOMIC"
"SRR8130967","GENOMIC"
"SRR15442760","METAGENOMIC"
"SRR27078749","METAGENOMIC"
"SRR6334713","GENOMIC"
"SRR22213301","GENOMIC"
"DRR048689","GENOMIC"
"SRR18243975","TRANSCRIPTOMIC"
"SRR25256618","GENOMIC"
"SRR12709317","GENOMIC"
"SRR9961907","TRANSCRIPTOMIC"
"SRR27078527","METAGENOMIC"
"SRR25288621","VIRAL RNA"
"SRR25256617","GENOMIC"
"SRR6847265","METAGENOMIC"
"DRR165199","TRANSCRIPTOMIC"
"SRR12709329","GENOMIC"
"SRR4003780","GENOMIC"
"SRR21631225","GENOMIC"
"DRR197424","GENOMIC"
"SRR6847315","METAGENOMIC"
"SRR15442956","METAGENOMIC"
"SRR12709431","GENOMIC"
"SRR12709713","GENOMIC"
"SRR18243950","GENOMIC"
"SRR3615019","OTHER"
"DRR125327","GENOMIC"
"SRR15442420","METAGENOMIC"
"SRR7471710","TRANSCRIPTOMIC"
"SRR11638020","TRANSCRIPTOMIC"
"SRR12709386","GENOMIC"
"DRR322178","GENOMIC"
"SRR13289412","GENOMIC"
"SRR19350947","TRANSCRIPTOMIC"
"SRR4003694","GENOMIC"
"SRR22682020","TRANSCRIPTOMIC"
"SRR27078832","METAGENOMIC"
"SRR17518780","TRANSCRIPTOMIC"
"SRR9112987","GENOMIC"
"SRR15442921","METAGENOMIC"
"SRR15442930","METAGENOMIC"
"SRR17518784","TRANSCRIPTOMIC"
"SRR22765714","GENOMIC"
"SRR7911752","TRANSCRIPTOMIC"
"SRR12709809","GENOMIC"
"SRR12709172","GENOMIC"
"SRR18086814","GENOMIC"
"SRR12709487","GENOMIC"
"SRR27078827","METAGENOMIC"
"DRR125381","GENOMIC"
"SRR15442646","METAGENOMIC"
"SRR13289407","GENOMIC"
"SRR27078809","METAGENOMIC"
"SRR15442459","METAGENOMIC"
"SRR7408270","GENOMIC"
"SRR21631240","GENOMIC"
"SRR25256573","GENOMIC"
"SRR15442204","METAGENOMIC"
"DRR168284","METAGENOMIC"
"SRR15672517","GENOMIC"
"SRR13434050","TRANSCRIPTOMIC"
"SRR22765734","GENOMIC"
"SRR12225167","GENOMIC"
"SRR25663069","GENOMIC"
"SRR4003745","GENOMIC"
"SRR19350898","TRANSCRIPTOMIC"
"SRR15442642","METAGENOMIC"
"SRR12710020","GENOMIC"
"SRR12710132","GENOMIC"
"SRR8130961","GENOMIC"
"SRR13771796","TRANSCRIPTOMIC"
"SRR12710085","GENOMIC"
"SRR22765711","GENOMIC"
"SRR21231055","TRANSCRIPTOMIC"
"SRR14712233","GENOMIC"
"SRR25288481","VIRAL RNA"
