Accession,Species,Genus
NC_040548.1,Serinus canaria papillomavirus 1,Etapapillomavirus
NC_040550.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040569.1,Macaca mulatta papillomavirus 4,
NC_040578.1,Canine papillomavirus 21,Taupapillomavirus
NC_040579.1,Canine papillomavirus 22,Taupapillomavirus
NC_040580.1,Erethizon dorsatum papillomavirus 2,
NC_040583.1,Boa constrictor papillomavirus 1,Dyomupapillomavirus
NC_040604.1,Rodent papillomavirus,
NC_040619.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040620.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040640.1,Human papillomavirus type 203,
NC_040655.1,Macaca mulatta papillomavirus 5,Gammapapillomavirus
NC_040688.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040691.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040709.1,Macaca mulatta papillomavirus 2,
NC_040727.1,Macaca mulatta papillomavirus 6,Alphapapillomavirus
NC_040728.1,Macaca mulatta papillomavirus 7,Gammapapillomavirus
NC_040785.1,Rusa timorensis papillomavirus type 2,
NC_040787.1,Molossus molossus papillomavirus 1,
NC_040803.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040804.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040805.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040806.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040818.1,Leptonychotes weddellii papillomavirus 6,
NC_040827.1,Macaca mulatta papillomavirus 3,
NC_038516.1,Dyokappapapillomavirus 1,Dyokappapapillomavirus
NC_038517.1,Dyoomegapapillomavirus 1,Dyoomegapapillomavirus
NC_038518.1,Dyopsipapillomavirus 1,Dyopsipapillomavirus
NC_038519.1,Dyotaupapillomavirus 1,Dyotaupapillomavirus
NC_038520.1,Dyothetapapillomavirus 1,Dyothetapapillomavirus
NC_038521.1,Dyoupsilonpapillomavirus 1,Dyoupsilonpapillomavirus
NC_038522.1,Gammapapillomavirus 19,Gammapapillomavirus
NC_038523.1,Gammapapillomavirus 22,Gammapapillomavirus
NC_038524.1,Gammapapillomavirus 23,Gammapapillomavirus
NC_038525.1,Mupapillomavirus 3,Mupapillomavirus
NC_038526.1,Rhopapillomavirus 2,Rhopapillomavirus
NC_038527.1,Treisdeltapapillomavirus 1,Treisdeltapapillomavirus
NC_038531.1,Treisetapapillomavirus 1,Treisetapapillomavirus
NC_038889.1,Alphapapillomavirus 6,Alphapapillomavirus
NC_038914.1,Gammapapillomavirus 25,Gammapapillomavirus
NC_039036.1,Deltapapillomavirus 7,Deltapapillomavirus
NC_039037.1,Dyokappapapillomavirus 5,Dyokappapapillomavirus
NC_039038.1,Dyophipapillomavirus 1,Dyophipapillomavirus
NC_039039.1,Iotapapillomavirus 2,Iotapapillomavirus
NC_039040.1,Treisiotapapillomavirus 1,Treisiotapapillomavirus
NC_039041.1,Treisthetapapillomavirus 1,Treisthetapapillomavirus
NC_039042.1,Xipapillomavirus 5,Xipapillomavirus
NC_039086.1,Gammapapillomavirus 26,Gammapapillomavirus
NC_039089.1,Alphapapillomavirus 14,Alphapapillomavirus
NC_037059.1,Leptonychotes weddellii papillomavirus 5,
NC_037061.1,Leptonychotes weddellii papillomavirus 1,
NC_037064.1,Leptonychotes weddellii papillomavirus 4,
NC_037067.1,Leptonychotes weddellii papillomavirus 2,
NC_037069.1,Leptonychotes weddellii papillomavirus 3,
NC_035478.1,Sus scrofa papillomavirus 2,
NC_035479.1,Felis catus papillomavirus type 5,
NC_035193.1,Dyonupapillomavirus 1,Dyonupapillomavirus
NC_035199.1,Omegapapillomavirus 1,Omegapapillomavirus
NC_035201.1,Omegapapillomavirus 1,Omegapapillomavirus
NC_035208.1,Bovine papillomavirus,
NC_034616.1,Human papillomavirus type 85,
NC_033781.1,Gammapapillomavirus 18,Gammapapillomavirus
NC_033740.1,Psipapillomavirus 2,Psipapillomavirus
NC_033745.1,Psipapillomavirus 3,Psipapillomavirus
NC_031756.1,Treiskappapapillomavirus 1,Treiskappapapillomavirus
NC_030839.1,Alefpapillomavirus 1,Alefpapillomavirus
NC_030795.1,Deltapapillomavirus 4,Deltapapillomavirus
