DRR336006	Bombyx mori
DRR452111	bovine gut metagenome
ERR10188009	milk metagenome
ERR10188083	milk metagenome
ERR10188112	milk metagenome
ERR10188114	milk metagenome
ERR10188115	milk metagenome
ERR10188211	milk metagenome
ERR10188212	milk metagenome
ERR10447056	Vulpes lagopus
ERR10447066	Vulpes lagopus
ERR10942642	Perodicticus potto ibeanus
ERR10972965	Tarsius dentatus
ERR11203034	Canis lupus familiaris
ERR11203045	Canis lupus familiaris
ERR11203069	Canis lupus familiaris
ERR11213956	Canis lupus familiaris
ERR11223860	Canis lupus familiaris
ERR11271768	Canis lupus familiaris
ERR11284567	Canis lupus familiaris
ERR11284570	Canis lupus familiaris
ERR11403158	Canis lupus familiaris
ERR11785766	Syncerus caffer
ERR11785783	Syncerus caffer
ERR1301447	viral metagenome
ERR1301474	viral metagenome
ERR1301521	viral metagenome
ERR1301530	viral metagenome
ERR1301851	viral metagenome
ERR164659	Chlamydia trachomatis
ERR1659874	Gadus morhua
ERR2756792	Desmodus rotundus
ERR2985417	Bos taurus
ERR3209766	metagenome
ERR3209929	metagenome
ERR3281568	Capra hircus
ERR3298753	Marmota marmota marmota
ERR3674534	metagenome
ERR5084170	metagenome
ERR7256387	Mustela putorius
SRR10902309	Ceratotherium simum simum
SRR11059661	Drosophila melanogaster
SRR11304755	human skin metagenome
SRR11569199	skin metagenome
SRR11657643	Ovis aries
SRR11743604	Malapterurus electricus
SRR11842090	Bubalus bubalis
SRR11913441	skin metagenome
SRR11951209	Bufo gargarizans
SRR12232778	bat metagenome
SRR12532606	Carassius gibelio
SRR12566196	Thamnophilus doliatus
SRR12596806	Prunus mira
SRR12604243	Takydromus septentrionalis
SRR12694846	Homo sapiens
SRR12851781	Gadus morhua
SRR13233212	Canis lupus familiaris
SRR13233423	Canis lupus familiaris
SRR13234696	Canis lupus familiaris
SRR13235192	Canis lupus familiaris
SRR13235220	Canis lupus familiaris
SRR13235485	Canis lupus familiaris
SRR13318616	Peromyscus maniculatus
SRR13376362	Canis lupus familiaris
SRR13725757	metagenome
SRR13725758	metagenome
