NC_040548 	Serinus canaria
NC_040550 	Homo sapiens
NC_040569 	Macaca mulatta
NC_040578 	Canis lupus familiaris
NC_040579 	Canis lupus familiaris
NC_040580 	Erethizon dorsatum
NC_040583 	Boa imperator
NC_040604 	Rattus norvegicus
NC_040619 	Homo sapiens
NC_040620 	Homo sapiens
NC_040640 	
NC_040655 	Macaca mulatta
NC_040688 	Homo sapiens
NC_040691 	Homo sapiens
NC_040709 	Macaca mulatta
NC_040727 	Macaca mulatta
NC_040728 	Macaca mulatta
NC_040785 	Rusa
NC_040787 	Molossus molossus
NC_040803 	Homo sapiens
NC_040804 	Homo sapiens
NC_040805 	Homo sapiens
NC_040806 	Homo sapiens
NC_040818 	Leptonychotes weddellii
NC_040827 	Macaca mulatta
NC_038516 	Ovis aries
NC_038517 	Eptesicus serotinus
NC_038518 	Eptesicus serotinus
NC_038519 	Miniopterus schreibersii
NC_038520 	Felis catus
NC_038521 	Eidolon helvum
NC_038522 	Homo sapiens
NC_038523 	Homo sapiens
NC_038524 	Homo sapiens
NC_038525 	Homo sapiens
NC_038526 	Trichechus manatus
NC_038527 	Rhinolophus ferrumequinum
NC_038531 	Vulpes vulpes
NC_038889 	
NC_038914 	Homo sapiens
NC_039036 	Giraffa camelopardalis
NC_039037 	Pudu puda
NC_039038 	Talpa europaea
NC_039039 	Peromyscus maniculatus
NC_039040 	Myotis ricketti
NC_039041 	Rusa timorensis
NC_039042 	Cervus elaphus
NC_039086 	Homo sapiens
NC_039089 	
NC_037059 	Leptonychotes weddellii
NC_037061 	Leptonychotes weddellii
NC_037064 	Leptonychotes weddellii
NC_037067 	Leptonychotes weddellii
NC_037069 	Leptonychotes weddellii
NC_035478 	Sus scrofa
NC_035479 	Felis catus
NC_035193 	
NC_035199 	
NC_035201 	
NC_035208 	Bos taurus
NC_034616 	Homo sapiens
NC_033781 	Homo sapiens
NC_033740 	Eidolon helvum
NC_033745 	Eidolon helvum
NC_031756 	Equus caballus
NC_030839 	Sparus aurata
NC_030795 	Bos taurus
NC_030796 	Bos taurus
NC_030797 	Bos taurus
NC_030798 	Bos taurus
NC_030799 	Bos taurus
NC_030800 	Bos taurus
NC_030801 	Bos taurus
NC_030151 	Cervus
NC_028492 	Rattus norvegicus
NC_028267 	Trichechus manatus
NC_028125 	Homo sapiens
NC_028126 	Bos taurus
NC_027779 	Homo sapiens
NC_027528 	Homo sapiens
NC_026946 	Homo sapiens
NC_026640 	Canis lupus familiaris
NC_024893 	Apodemus sylvaticus
NC_024300 	Fulmarus glacialis
NC_023891 	Homo sapiens
NC_023894 	Pygoscelis adeliae
NC_023895 	Rupicapra rupicapra
NC_023873 	Enhydra lutris nereis
NC_023882 	Equus asinus
NC_023852 	Canis lupus familiaris
NC_023496 	Saimiri sciureus
NC_023178 	Castor canadensis
NC_022892 	Homo sapiens
NC_022647 	Mesocricetus auratus
NC_022373 	Felis catus
NC_022253 	Mustela putorius furo
NC_022095 	Homo sapiens
NC_021930 	Rangifer tarandus
NC_021483 	Homo sapiens
NC_021472 	Felis catus
NC_020500 	Equus ferus
NC_020501 	Equus ferus
NC_020084 	Equus caballus
NC_020085 	Equus caballus
NC_019852 	
NC_019023 	Homo sapiens
NC_018575 	
NC_018074 	Phocoena phocoena
NC_018075 	Phocoena phocoena
NC_018076 	Phocoena phocoena
NC_017993 	Homo sapiens
NC_017994 	Homo sapiens
NC_017995 	Homo sapiens
NC_017996 	Homo sapiens
NC_017997 	Homo sapiens
NC_017862 	Equus caballus
NC_017716 	Papio hamadryas
NC_016898 	Trichechus manatus latirostris
NC_016074 	Canis lupus familiaris
NC_016075 	Canis lupus familiaris
NC_016157 	Homo sapiens
NC_016013 	Morelia spilota spilota
NC_016014 	Canis lupus familiaris
NC_015691 	Macaca fascicularis
NC_015692 	Colobus guereza
NC_015325 	Zalophus californianus
NC_015267 	Camelus dromedarius
NC_015268 	Camelus dromedarius
NC_014952 	Homo sapiens
NC_014953 	Homo sapiens
NC_014954 	Homo sapiens
NC_014955 	Homo sapiens
NC_014956 	Homo sapiens
NC_014469 	Homo sapiens
NC_014326 	Mus musculus
NC_014185 	Homo sapiens
NC_014143 	Bettongia penicillata
NC_013237 	Canis lupus familiaris
NC_013117 	
NC_013035 	Homo sapiens
NC_012485 	
NC_012486 	
NC_012213 	
NC_012123 	
NC_011765 	Erinaceus europaeus
NC_011530 	Caretta caretta
NC_011280 	
NC_011109 	Tursiops truncatus
NC_011051 	Capreolus capreolus
NC_010817 	Isoodon obesulus
NC_010739 	
NC_010329 	
NC_010226 	Canis lupus familiaris
NC_010107 	Perameles bougainville
NC_008582 	Micromys minutus
NC_008519 	
NC_008297 	Canis lupus familiaris
NC_008298 	Rousettus aegyptiacus
NC_008184 	Tursiops truncatus
NC_008188 	
NC_008189 	
NC_008032 	
NC_007612 	
NC_007150 	Procyon lotor
NC_006951 	Erethizon dorsatum
NC_006563 	Trichechus manatus latirostris
NC_006564 	
NC_005134 	
NC_004765 	Felis catus
NC_004500 	
NC_004195 	
NC_004197 	
NC_004104 	
NC_004068 	
NC_003973 	Psittacus erithacus
NC_003748 	Equus ferus
NC_003348 	Phocoena spinipinnis
NC_002232 	
NC_001789 	
NC_001693 	
NC_001694 	
NC_001690 	
NC_001691 	
NC_001676 	
NC_001619 	
NC_001605 	Mastomys natalensis
NC_001576 	
NC_001583 	
NC_001586 	
NC_001587 	
NC_001591 	
NC_001593 	
NC_001595 	
NC_001596 	
NC_001541 	
NC_001678 	
NC_001523 	
NC_001524 	
NC_001526 	
NC_001531 	
NC_001457 	
NC_001458 	
NC_001354 	
NC_001352 	
NC_001357 	
NC_001522 	
NC_001355 	
NC_001356 	
PP481164 	Bos taurus
PP481165 	Bos taurus
PP481166 	Bos taurus
