V1_clean	V3_clean	host_group	host_confidence	biosample_organism	needs_review	resolution_status	manual_add
ERR10228868	metagenome	Human	low	NA	TRUE	unresolved	Human
ERR10228871	metagenome	Human	low	NA	TRUE	unresolved	Human
ERR10228882	metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11513000	metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11513016	metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835784	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835785	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835786	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835851	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835852	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835853	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835854	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835863	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835864	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835865	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835866	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835887	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835888	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835889	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835890	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835913	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835931	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835932	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835933	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11835934	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836006	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836051	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836052	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836053	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836054	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836068	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836069	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836070	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836143	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836145	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR11836146	eye metagenome	Human	low	NA	TRUE	unresolved	Human
ERR1192687	mixed sample	Other	low	NA	TRUE	unresolved	Neisseria gonorrhoeae
ERR1192706	mixed sample	Other	low	NA	TRUE	unresolved	Neisseria gonorrhoeae
ERR1192720	mixed sample	Other	low	NA	TRUE	unresolved	Neisseria gonorrhoeae
ERR1192739	mixed sample	Other	low	NA	TRUE	unresolved	Neisseria gonorrhoeae
ERR1192755	mixed sample	Other	low	NA	TRUE	unresolved	Neisseria gonorrhoeae
ERR1301447	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301474	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301521	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301530	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301537	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301610	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301619	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301851	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301936	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1301973	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1302043	viral metagenome	Bat	low	NA	TRUE	unresolved	Bat
ERR1332584	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332587	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332589	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332590	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332591	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332593	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332594	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332595	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332596	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332597	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332598	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332599	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332600	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332601	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332602	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332603	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332604	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332605	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332606	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332607	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332609	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332615	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1332636	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR1363905	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363909	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363918	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363919	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363925	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363928	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363931	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363934	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363939	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363941	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363942	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1363951	unidentified	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1713411	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1726032	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1726033	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1726035	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1788733	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR1992807	synthetic metagenome	Other	low	NA	TRUE	unresolved	Synthetic
ERR1992808	synthetic metagenome	Other	low	NA	TRUE	unresolved	Synthetic
ERR1992809	synthetic metagenome	Other	low	NA	TRUE	unresolved	Synthetic
ERR2014384	metagenome	Human	low	NA	TRUE	unresolved	Vaginal fluid
ERR2014385	metagenome	Human	low	NA	TRUE	unresolved	Vaginal fluid
ERR2185279	synthetic metagenome	Other	low	NA	TRUE	unresolved	Synthetic
ERR233428	unidentified	Other	low	NA	TRUE	unresolved	Unknown
ERR2486109	Metagenome	Other	low	NA	TRUE	unresolved	Mountain metagenome
ERR2538355	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538362	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538374	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538390	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538395	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538405	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538418	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538419	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538431	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538448	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538455	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538463	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538465	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538466	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538470	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538474	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538475	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538476	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538478	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538483	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538485	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538488	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538491	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538492	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538498	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538499	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538500	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538507	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538517	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538518	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538521	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538524	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2538525	skin metagenome	Human	low	NA	TRUE	unresolved	Human
ERR2592283	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	Wasterwater metagenome
ERR2607598	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	
ERR2607599	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	
ERR2607602	wastewater metagenome	Metagenome	low	NA	TRUE	unresolved	
ERR2696419	synthetic metagenome	Metagenome	low	NA	TRUE	unresolved	Synthetic
ERR2696420	synthetic metagenome	Metagenome	low	NA	TRUE	unresolved	Synthetic
ERR2867995	viral metagenome	Human	low	NA	TRUE	unresolved	Human gut metagenome
ERR3209762	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209763	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209766	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209767	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209772	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209775	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209778	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209780	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209788	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209793	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209794	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209795	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209796	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
ERR3209800	metagenome	Metagenome	low	NA	TRUE	unresolved	Hospital metagenome
