host_group	logan_yes	logan_no	ncbi_yes	ncbi_no	p_value	odds_ratio	p_adj
Bat	126	972	166	826	0.000629267001017381	1.54997800612915	0.00440486900712167
Cetacean	4	1094	20	972	0.000348672629606707	5.62324796151043	0.00440486900712167
Feline	8	1090	25	967	0.00124025555633074	3.52053881001072	0.00578785926287678
Amphibian	26	1072	7	985	0.00241129673615613	0.29318162992869	0.00843953857654644
Avian	9	1089	24	968	0.00430497769686599	2.99851691899093	0.0120539375512248
Equine	4	1094	13	979	0.0252832525313748	3.62985279799752	0.0589942559065412
Canine	59	1039	36	956	0.0587953154049866	0.66327526808935	0.117590630809973
Cervine	8	1090	12	980	0.27112680228168	1.66794544527889	0.47447190399294
Human	583	515	505	487	0.334806609831089	0.916051106672236	0.520810281959471
Other	53	1045	42	950	0.529985491015926	0.871755635348265	0.674526988565724
Rodent	34	1064	25	967	0.508826322196025	0.8091341418408	0.674526988565724
Bovine	53	1045	52	940	0.689136565078899	1.09067992810993	0.742147070084968
Ray-finned Fish	25	1073	26	966	0.671036238241836	1.15511528174483	0.742147070084968
Non-human Primate	15	1083	15	977	0.854737383792611	1.10844006521117	0.854737383792611
