Amphibian	6	13
Avian	22	8
Bat	154	40
Bovine	2	27
Camelids	3	0
Canine	31	23
Caprine	3	4
Cattle	43	5
Cervine	11	8
Cetacean	20	0
Equine	11	1
Feline	19	0
Giraffid	2	1
Human	364	88
Hyena	1	0
Insect	0	1
Insectivore	6	1
Lapine	2	0
Manatee	5	0
Marsupial	2	1
Metagenome	0	1
Mustelid	6	2
Non-human Primate	12	4
Ovine	3	0
Pangolin	4	14
Pinnipeds	9	0
Plant	0	2
Porcine	2	8
Raccoon	1	0
Ray-finned Fish	25	14
Reptile	8	8
Rhino	0	1
Rodent	19	16
Salamander	1	7
Skunk	0	1
Tick	0	2
Tree shrew	2	0
Ursine	5	2
Vulpine	1	2
