host_group	logan_yes	logan_no	ncbi_yes	ncbi_no	p_value	odds_ratio	p_adj
Bat	126	971	166	826	0.000630670510945176	1.54838412792504	0.00441469357661623
Cetacean	4	1093	20	972	0.000350744482016691	5.61810991066304	0.00441469357661623
Feline	8	1089	25	967	0.00124366930967743	3.51730968459354	0.00580379011182802
Amphibian	26	1071	7	985	0.00240532281438134	0.292908419387429	0.00841862985033469
Avian	9	1088	24	968	0.00431361269282088	2.99576414777095	0.0120781155398985
Equine	4	1093	13	979	0.0252993658677772	3.62653732416408	0.0590318536914801
Canine	59	1038	36	956	0.0587031802026832	0.662637271330612	0.117406360405366
Other	53	1044	66	926	0.0885041963083029	1.4037293597722	0.15488234353953
Cervine	8	1089	12	980	0.271350087223359	1.6664158489314	0.422100135680781
Human	582	515	505	487	0.33488340251241	0.917624298861293	0.468836763517374
Rodent	34	1063	25	967	0.508829194025722	0.80837409173782	0.647600792396374
Bovine	53	1044	52	940	0.689232512065785	1.08963522384352	0.742250397609307
Ray-finned Fish	25	1072	26	966	0.67109678767425	1.15403926208141	0.742250397609307
Non-human Primate	15	1082	15	977	0.854769494827725	1.10741705684818	0.854769494827725
