V1_clean	original_metadata	host_group	host_confidence	biosample_organism	manual_host	needs_review	biosample_host	biosample_isolation_source	biosample_organism_field	biosample_title	host_group_broad
SRR11964133	Acetobacter pasteurianus	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
SRR22968103	Aedes geniculatus	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
DRR013317	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013318	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013319	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013320	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013321	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013323	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013324	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013325	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013326	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013327	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013328	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013329	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR013331	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022543	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022544	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022546	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022547	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022548	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022549	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022550	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022551	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022552	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022553	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022554	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR022555	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR027740	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR027741	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR029100	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR048689	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125236	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125237	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125238	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125239	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125240	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125241	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125242	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125243	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125244	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125245	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
