accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
BK066583.1	Papillomavirus astyanax5827	Astyanax mexicanus	Amphibian	2024	zero_hits				generalization	1
BK066762.1	Papillomavirus leptobrachium5415	Leptobrachium leishanense	Amphibian	2024	zero_hits				Amphibian	4
BK066313.1	Papillomavirus rana6035	Rana jiemuxiensis	Amphibian	2024	zero_hits				Avian	21
MW582900.1	Rhinella marina papillomavirus 1	Rhinella marina	Amphibian	2021	zero_hits				Bat	83
MW888448.1	Anas platyrhynchos papillomavirus 2	Anas platyrhynchos	Avian	2022	zero_hits				Bovine	32
OP628184.1	Columba livia papillomavirus 1	Columba livia	Avian	2023	zero_hits				Camelid	3
KX147683.1	Duck papillomavirus	duck	Avian	2016	filter_fail				Canine	7
MK620303.1	Duck papillomavirus 3	Anas platyrhynchos (Mallard)	Avian	2019	zero_hits				Caprine	3
EU188799.1	Francolinus leucoscepus papillomavirus 1	Francolinus leucoscepus	Avian	2009	filter_fail				Cervine	11
KJ452243.1	Fulmarus glacialis papillomavirus 1	Fulmarus glacialis	Avian	2014	zero_hits				Cetacean	21
MK620304.1	Gull papillomavirus 1	Larus smithsonianus (American Herring Gull)	Avian	2019	zero_hits				Equine	11
MK620328.1	Gull papillomavirus 2	Larus smithsonianus (American Herring Gull)	Avian	2019	filter_fail				Feline	8
MK620331.1	Gull papillomavirus 3	Larus smithsonianus (American Herring Gull)	Avian	2019	filter_fail				Giraffid	2
MK620332.1	Kittiwake papillomavirus 1	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	zero_hits				Hedgehog	4
MK620305.1	Kittiwake papillomavirus 2	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	filter_fail				Human	49
MK620334.1	Kittiwake papillomavirus 3	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	zero_hits				Hyena	1
MK620336.1	Kittiwake papillomavirus 4	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	zero_hits				Insectivore	8
MK620340.1	Kittiwake papillomavirus 6	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	zero_hits				Lapine	1
MK620341.1	Kittiwake papillomavirus 7	Rissa tridactyla (Black-legged Kittiwake)	Avian	2019	zero_hits				Manatee	3
MK620302.1	Puffin papillomavirus 1	Fratercula arctica (Atlantic puffin)	Avian	2019	zero_hits				Marsupial	3
KJ173785.1	Pygoscelis adeliae papillomavirus 1	Pygoscelis adeliae	Avian	2014	zero_hits				Mustelid	4
MF168943.1	Pygoscelis adeliae papillomavirus 2	Pygoscelis adeliae	Avian	2017	filter_fail				Non-human Primate	22
MF564196.1	Serinus canaria papillomavirus 1	Serinus canaria var. Yorkshire	Avian	2018	zero_hits				Other	2
AF420235.1	Thetapapillomavirus 1	Various (genus-level type species)	Avian	2002	filter_fail				Ovine	3
MZ602149.1	Wesgulfec papillomavirus	Unknown	Avian	2021	zero_hits				Panoglin	1
OR952773.1	Bat papillomavirus	Rhinolophus sp.	Bat	2024	filter_fail	MAG			Pinniped	7
OR952777.1	Bat papillomavirus	Hipposideros armiger	Bat	2024	filter_fail	MAG			Porcine	1
OR952780.1	Bat papillomavirus	Scotophilus kuhlii	Bat	2024	filter_fail	MAG			Raccoon	1
OR952783.1	Bat papillomavirus	Rhinolophus sinicus	Bat	2024	filter_fail	MAG			Ray-finned Fish	14
OR952784.1	Bat papillomavirus	Aselliscus stoliczkanus	Bat	2024	filter_fail	MAG			Reptile	4
OR952785.1	Bat papillomavirus	Rhinolophus pusillus	Bat	2024	filter_fail	MAG			Rodent	10
OR952786.1	Bat papillomavirus	Rhinolophus pusillus	Bat	2024	filter_fail	MAG			Ursine	2
OR952787.1	Bat papillomavirus	Rhinolophus pusillus	Bat	2024	filter_fail	MAG			0	
OR952791.1	Bat papillomavirus	Rhinolophus pusillus	Bat	2024	filter_fail	MAG				
OR952796.1	Bat papillomavirus	Rhinolophus sinicus	Bat	2024	filter_fail	MAG				
