cluster_number	centroid	host_group	status	aln_best_pct_id	blastn_best_pct_id	best_pct_id	best_hit_name	taxonomy_level
1	SRR8379619Score=261.058_Edges=56817_60079_7321_108965_108967_38401_50547_Position=43_Alignment=38M6D21M1D92M26I42M6I11M17I53M2D70M8I14M1I45M_ScaffoldSuperpaths=_OriginScaffoldPath=	Amphibian	novel	NA	NA	NA	NA	no_hit
2	SRR5967360Score=637.877_Edges=132301_132299_90243_124255_98203_118033_118031_11155_33977_33975_40609_40607_64525_10947_10945_97687_82561_108311_40913_40915_66191_99687_99689_96147_12521_91451_140133_140131_65425_65575_146615_121707_122479_29683_29685_142661_22481_65981_65973_13943_38695_38691_59649_59641_131939_139501_139505_127519_46015_99241_53275_53271_17913_156309_156313_70455_70453_143749_72335_34887_34891_153775_10329_113897_113899_138057_128309_70927_70929_111231_111227_153725_153729_68127_12705_12701_50097_76449_16015_16019_140501_28283_28281_27991_140079_140077_25971_116785_48645_151481_80463_80465_9671_9669_23755_70523_18607_132213_74171_74167_70365_144741_1463_110437_46059_50169_50171_63641_26007_50547_81581_9723_9725_Position=48_Alignment=40M1I81M18I41M1D95M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Metagenome	novel	NA	NA	NA	NA	no_hit
3	ERR3674566Score=641.909_Edges=7_Position=634_Alignment=40M2I122M1D95M7I8M4I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Metagenome	ncbi_virus	NA	94.079	94.079	human papillomavirus 119	known_species
4	SRR3182302Score=613.083_Edges=3843_8147_7875_4143_5515_557_559_7839_5881_431_6725_7021_673_6153_Position=201_Alignment=40M1I81M1D40M1D95M10I8M1I70M2I45M4I14M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	Human papillomavirus	known_species
5	SRR6442896Score=640.751_Edges=291_Position=5333_Alignment=40M1I218M7I8M3I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	92.214	92.214	Human papillomavirus;Human papillomavirus 197	known_species
6	SRR6442994Score=635.721_Edges=7_17_11_7_Position=7057_Alignment=40M2I81M2I137M8I8M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	96.513	96.513	Human papillomavirus 202	known_species
7	SRR7802420Score=649.451_Edges=7_5_31_Position=6795_Alignment=40M2I81M2I137M7I8M3I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	70.546	70.546	Human papillomavirus 65	new_species
8	ERR10857049Score=653.806_Edges=85_135_137_47_49_Position=222_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.455	98.455	human papillomavirus 21	known_species
9	ERR3974441Score=660.022_Edges=22773_74849_12851_Position=2668_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	88.321	88.321	human papillomavirus 24	new_species
10	SRR13789583Score=657.355_Edges=52665_52667_98531_16631_765_Position=720_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	93.582	93.582	Human papillomavirus;Human papillomavirus 93	known_species
11	SRR13789814Score=650.976_Edges=268557_Position=3186_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.187	99.187	Human papillomavirus 98	known_species
12	SRR13789891Score=652.069_Edges=7771_80789_65323_65325_Position=773_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	88.178	88.178	Human papillomavirus type 195	new_species
13	SRR22230827Score=659.072_Edges=192293_225001_106971_384461_446051_446049_292351_292349_471615_365315_343813_343815_138919_186743_186745_Position=463_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	88.862	88.862	Human papillomavirus type 14D	new_species
14	SRR26848399Score=656.239_Edges=36057_3755_Position=3178_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.837	99.837	human papillomavirus 24	known_species
15	SRR3642387Score=661.081_Edges=13_103_Position=1123_Alignment=40M1I82M1I136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	94.228	94.228	Human papillomavirus type 14D	known_species
16	SRR6442905Score=636.677_Edges=14309_Position=753_Alignment=40M1I218M5I8M4I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.268	99.268	Human papillomavirus	known_species
17	SRR7688431Score=638.372_Edges=73_77_Position=744_Alignment=40M2I122M1D95M7I8M3I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.211	98.211	human papillomavirus 164	known_species
18	SRR7688502Score=640.391_Edges=3647_3651_10337_4419_10635_10637_3205_11409_9841_10267_10271_9911_6583_4319_5949_6011_2325_8611_8609_8659_5661_5659_7567_5587_6967_3153_3155_7141_2393_2389_7445_9503_3085_3083_4635_9631_12175_3839_3843_4507_6345_8685_3229_2921_8405_8409_1641_4297_2917_2297_2293_471_7_3833_3837_4029_6497_6501_10075_407_11687_11691_7305_4951_6513_6509_10571_2225_4831_3951_3955_993_6041_7025_7027_4575_4571_35_6111_5543_5545_4203_2961_2957_10341_1495_1537_1539_8207_8203_8547_1965_7713_11263_11265_319_323_8583_5997_6001_10081_10079_9161_11243_11245_4235_1617_2309_1325_1231_1233_9165_7419_12209_9123_9121_8023_8165_6693_529_525_2355_10005_2623_7157_8561_8563_5019_2091_2095_485_483_1081_3781_11221_10677_10675_4245_5689_5687_12495_12499_447_449_5807_8507_2443_2447_9667_6017_7333_2853_2857_4581_2545_2541_6695_6689_2377_2749_11609_1125_11761_10043_10041_4479_10149_11663_1123_1119_8037_8035_10405_10931_10935_8331_7359_7363_2363_4265_5849_4857_523_11371_11369_7093_10185_3979_3507_3511_4339_8571_3113_1259_8031_8029_5477_8385_8387_9781_9783_10231_10733_145_8999_1379_1375_7885_7887_6313_8955_5629_5633_10845_7555_5623_9209_9211_887_3327_12551_12553_11753_723_11943_8129_8125_11855_9625_1915_10489_303_3939_3941_1909_1911_5245_2711_2787_743_957_955_8803_8797_10505_4241_10379_10381_2821_699_695_4721_8013_8011_3917_2077_8453_6543_4041_6995_2929_2931_5481_5479_4789_1521_3307_1755_7971_7967_6233_3599_2511_3889_3885_3369_975_6401_6849_11963_11969_2313_2535_2539_Position=3_Alignment=40M2I122M1I96M7I8M3I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	90.554	90.554	human papillomavirus 112	known_species
19	SRR7688840Score=647.642_Edges=25_5_11_Position=754_Alignment=40M2I122M1I96M7I8M3I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	90.422	90.422	human papillomavirus 112	known_species
20	SRR7688004Score=639.691_Edges=45753_Position=2335_Alignment=40M2I122M1D95M6I8M3I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	96.659	96.659	human papillomavirus 147	known_species
21	ERR10856948Score=649.424_Edges=51_Position=86_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.755	99.755	Human papillomavirus 5	known_species
