ACC,START,END,LENGTH,ORIG,Remove?,proportion removed,left,"REMOVAL CRITERIA = remove if either less than 50% of the original input is left, or if less than 50 aa are left"
OP721220,1,32,533,,n,0.058161351,502,
OP721198,1,38,549,,n,0.067395264,512,
MZ189207,129,165,165,,n,0.218181818,129,
MZ189236,73,99,99,,n,0.262626263,73,
MZ189241,71,99,99,,n,0.282828283,71,
MZ189175,71,100,100,,n,0.29,71,
MZ189199,56,96,96,,n,0.416666667,56,
MZ189189,95,169,169,,n,0.437869822,95,
HE984559,36,65,65,,y,0.446153846,36,
MZ189185,87,166,166,,n,0.475903614,87,
HE984527,53,106,106,,n,0.5,53,
MZ189223,37,78,78,,y,0.525641026,37,
MZ189193,50,107,107,,y,0.53271028,50,
MP134365,40,136,136,,y,0.705882353,40,
AF001600,1,137,178,,y,0.764044944,42,
MZ189212,19,129,129,,y,0.852713178,19,
HE984563,10,94,94,,y,0.893617021,10,
AB331651,381,689,689,,n,0.447024673,381,
