cluster_number	centroid	host_group	status	final_best_pct_id	final_best_hit	taxonomy_final
71	SRR7688412Score=657.777_Edges=2675_1843_1845_16333_18437_18433_8065_8063_6577_19833_19837_23623_23625_13109_10173_2751_2749_949_20137_20135_8173_8171_13553_13413_Position=1088_Alignment=121M1D136M5I8M1I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
389	SRR8567689Score=605.318_Edges=467_471_661_651_297_171_165_267_535_565_615_475_477_497_379_83_123_385_335_337_421_337_335_271_507_491_495_399_669_667_309_579_577_209_699_705_483_315_91_101_103_431_311_3_117_185_183_489_5_7_195_199_303_259_285_109_105_9_289_125_97_695_657_329_327_389_59_683_161_191_189_47_427_617_135_393_397_575_415_599_447_519_523_245_681_637_513_403_Position=12_Alignment=40M2I81M31I1M7I40M1D95M3I8M1I70M3I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
407	SRR7688798Score=658.952_Edges=13505_79093_79089_26999_1311_57613_14009_17977_84853_84851_22449_22451_51575_51579_14297_56465_82985_43063_43059_64863_94963_94959_59195_48143_48145_65997_32123_67921_57707_57703_4555_73779_36661_60107_48909_48905_4561_4565_39691_39695_72173_72177_66575_7095_22363_11711_72841_72969_Position=5_Alignment=40M1D80M1D136M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
526	SRR7992840Score=547.431_Edges=22243_22247_45345_45343_80869_80871_92347_92349_16519_16517_52623_17673_18273_47027_35183_35185_331_94445_10735_10737_44763_101309_17707_1479_1485_1483_1479_17707_101309_44763_10737_10735_94445_331_35185_35183_47027_18273_17671_16517_52623_17673_18273_47027_35183_35185_331_94445_10735_10737_44763_101309_17707_1479_1485_56489_94621_48933_Position=312_Alignment=40M1I82M1I89M109I47M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	NA	no_hit
527	SRR6442953Score=612.372_Edges=49075_73621_75089_26281_54711_73621_75089_26281_64337_64339_Position=2133_Alignment=40M1I82M1I110M37I26M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
552	SRR6442906Score=651.695_Edges=14121_26719_26721_2477_Position=149_Alignment=40M1I226M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
631	SRR16368196Score=583.443_Edges=4615_2623_5721_8235_4925_975_8577_7001_6999_7959_6123_6119_2897_1207_3917_3915_4849_779_5439_9429_4309_9429_5439_779_4849_3915_3917_1207_2897_3909_3907_531_8573_8577_975_4925_6791_2905_7087_7089_2889_Position=29_Alignment=40M1I81M31I6M43I137M1D70M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
763	SRR15442792_2125_ka_f_210.967_L_2125_L_2125_:78-1253	Human	ncbi_virus	NA	NA	no_hit
883	SRR6442983Score=509.081_Edges=30709_2853_2849_2557_46267_31671_73961_48329_69397_2553_2557_46267_31671_73961_48329_69397_14149_Position=1384_Alignment=40M1I48M93I27M2D45M1D101M2D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	NA	no_hit
884	SRR6442885Score=546.563_Edges=19893_19889_69701_185937_150491_21575_75789_159657_115751_82243_185939_185937_150489_Position=217_Alignment=40M1I117M46I1M31I4M1D103M2I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
885	SRR7993553Score=590.265_Edges=88995_64949_64953_64951_147987_64949_64953_103507_158479_31149_Position=721_Alignment=40M2I81M30I13M4I132M3I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	NA	no_hit
