V1_2	x10	n	curated
A07020.1_123_1298_1	Alphapapillomavirus	8	y
A28090.1_126_1301_1	Alphapapillomavirus	9	y
AB027021.1_147_1328_1	Alphapapillomavirus	9	y
AB040456.1_153_1328_1	Alphapapillomavirus	10	y
AB211993.1_387_1553_1	Alphapapillomavirus	7	y
AB331650.1_144_1325_1	Xipapillomavirus	5	y
AB331651.1_309_1508_1	Xipapillomavirus	10	y
AB361563.1_123_1286_1	Alphapapillomavirus	8	y
AB542808.1_90_1274_1	Alphapapillomavirus	7	y
AB543507.1_90_1274_1	Xipapillomavirus	8	y
AB626705.1_54_1229_1	Deltapapillomavirus	8	y
AB646346.1_105_1328_1	Gammapapillomavirus	7	y
AB745694.1_129_1307_1	Alphapapillomavirus	10	y
AB793779.1_99_1280_1	Alphapapillomavirus	10	y
AB818687.1_156_1334_1	Alphapapillomavirus	7	y
AB845589.1_75_1262_1	Xipapillomavirus	8	y
AF020905.1_135_1310_1	Alphapapillomavirus	10	y
AF067036.1_42_1208_1	Alphapapillomavirus	9	y
AF070938.1_48_1226_1	Alphapapillomavirus	9	y
AF131950.1_162_1343_1	Alphapapillomavirus	9	y
AF151983.1_123_1304_1	Alphapapillomavirus	10	y
AF217526.1_42_1211_1	Alphapapillomavirus	9	y
AF227240.1_51_1232_1	Kappapapillomavirus	5	y
AF293960.1_276_1460_1	Alphapapillomavirus	8	y
AF349909.1_186_1376_1	Alphapapillomavirus	10	y
AF377865.1_192_1367_1	Lambdapapillomavirus	8	y
AF394740.1_87_1283_1	Zetapapillomavirus	3	y
AF420235.1_81_1253_1	Thetapapillomavirus	4	y
AF436128.1_102_1283_1	Alphapapillomavirus	10	y
AF436129.1_231_1394_1	Alphapapillomavirus	9	y
AF443292.1_81_1265_1	Deltapapillomavirus	8	y
AF457465.1_225_1391_1	Epsilonpapillomavirus	6	y
AF486184.1_75_1265_1	Xipapillomavirus	9	y
AF531420.1_90_1301_1	Betapapillomavirus	6	y
AJ006302.1_132_1358_1	Omikronpapillomavirus	5	y
AJ243287.1_93_1289_1	Kappapapillomavirus	5	y
AJ620209.1_165_1346_1	Alphapapillomavirus	7	y
AJ620210.1_108_1316_1	Gammapapillomavirus	7	y
AY044277.1_48_1271_1	Betapapillomavirus	9	y
AY057109.1_54_1247_1	Etapapillomavirus	3	y
AY262282.1_240_1421_1	Alphapapillomavirus	8	y
AY330620.1_102_1286_1	Alphapapillomavirus	10	y
AY382778.1_57_1286_1	Betapapillomavirus	9	y
AY382779.2_117_1325_1	Betapapillomavirus	7	y
AY609301.1_81_1277_1	Rhopapillomavirus	7	y
AY684126.1_51_1235_1	Sigmapapillomavirus	3	y
AY722648.1_99_1274_1	Taupapillomavirus	6	y
AY763115.1_54_1238_1	Lambdapapillomavirus	7	y
AY904724.1_57_1238_1	Lambdapapillomavirus	8	y
AY940040.1_24_1244_1	Upsilonpapillomavirus	7	y
BK062772.1_87_1286_1	Manis_javanica_associated	7	y
BK062773.1_54_1253_1	Manis_javanica_associated	6	y
BK062774.1_51_1241_1	Manis_javanica_associated	7	y
BK062778.1_192_1367_1	Manis_pentadactyla_associated	5	y
BK066313.1_45_1187_1	Rana_jiemuxiensis_associated	7	y
BK066321.1_72_1274_1	Gadus_morhua_associated	8	y
BK066346.1_99_1316_1	Humanpapillomavirustypes	6	y
BK066347.1_93_1277_1	Taupapillomavirus	5	y
BK066355.1_237_1415_1	"Rhinolophus_ferrumequinum	_associated"	5	y
BK066366.1_114_1298_1	Taupapillomavirus	6	y
BK066374.1_111_1289_1	Felis_associated	6	y
BK066382.1_57_1217_1	Carassius_auratus_associated	7	y
BK066384.1_135_1322_1	Pipapillomavirus	4	y
BK066390.1_87_1268_1	Taupapillomavirus	7	y
BK066393.1_90_1277_1	Apodemus_sylvaticus_associated	5	y
BK066395.1_93_1295_1	Human_associated	5	y
BK066408.1_63_1328_1	Coryphaenoides_rupestris_associated	7	y
BK066415.1_63_1253_1	Human_associated	7	y
BK066421.1_84_1274_1	Sorex_associated	5	y
BK066436.1_54_1310_1	Cynoglossus_semilaevis_associated	7	y
BK066449.1_204_1379_1	Iotapapillomavirus	6	y
BK066462.1_78_1295_1	Taupapillomavirus	9	y
BK066472.1_117_1283_1	Panthera_pardus_associcated	5	y
BK066482.1_51_1244_1	Dyotaupapillomavirus	8	y
BK066485.1_87_1316_1	Human_associated	5	y
BK066488.1_150_1340_1	Canis_familiaris_associated	7	y
BK066513.1_87_1274_1	Felis_catus_associated	8	y
BK066545.1_63_1247_1	Numida_associated	7	y
BK066583.1_234_1415_1	Astyanax_mexicanus_associated	5	y
BK066588.1_96_1274_1	Taupapillomavirus	7	y
BK066590.1_81_1289_1	Rhinolophus_associated	7	y
BK066597.1_516_1694_1	Molossus_associated	6	y
BK066644.1_102_1298_1	Canis_familiaris_associated	4	y
BK066647.1_129_1349_1	Gammapapillomavirus	5	y
BK066654.1_117_1301_1	Canis_familiaris_associated	7	y
BK066659.1_105_1319_1	Human_associated	6	y
BK066681.1_213_1511_1	Gadus_morhua_associated	5	y
BK066692.1_51_1256_1	Molossus_associated	3	y
BK066697.1_72_1274_1	Human_associated	6	y
BK066718.1_69_1232_1	Podarcis_guadarramae_associated	3	y
BK066727.1_186_1376_1	Etapapillomavirus	4	y
BK066742.1_150_1337_1	Canis_familiaris_associated	7	y
BK066744.1_195_1370_1	Iotapapillomavirus	6	y
BK066746.1_54_1271_1	Xiphophorus_birchmanni_associated	7	y
BK066751.1_81_1283_1	Sorex_associated	7	y
BK066757.1_75_1259_1	Rodent_associated	6	y
BK066762.1_57_1157_1	Leptobrachium_leishanense_associated	9	y
BK066769.1_138_1316_1	Canis_familiaris_associated	6	y
BK066786.1_51_1235_1	Barbastella_barbastellus_associated	6	y
BK066787.1_51_1226_1	Bat_associated	8	y
BK066790.1_84_1265_1	Taupapillomavirus	7	y
BK066791.1_117_1295_1	Canis_familiaris_associated	7	y
BK066795.1_45_1154_1	Leptobrachium_leishanense_associated	8	y
BK066797.1_69_1304_1	Omikronpapillomavirus	5	y
BK066831.1_93_1304_1	Molossus_associated	3	y
BK066841.1_57_1214_1	Rana_jiemuxiensis_associated	8	y
BK066846.1_93_1304_1	Sorex_associated	3	y
BK066851.1_75_1304_1	Gadus_morhua_associated	6	y
BK066866.1_63_1244_1	Rodent_associated	6	y
BK066876.1_99_1316_1	Sousa_chinensis_associated	3	y
BK066884.1_180_1280_1	Ambystoma_mexicanum_associated	9	y
BK066885.1_96_1292_1	Sparus_aurata_associated	5	y
BK066893.1_138_1331_1	Panthera_pardus_associcated	7	y
BK066894.1_9_1235_1	Rana_jiemuxiensis_associated	8	y
BK066896.1_69_1280_1	Human_associated	6	y
CS077205.1_45_1235_1	Alphapapillomavirus	5	y
D21208.1_183_1361_1	Alphapapillomavirus	10	y
D26115.1_84_1274_1	Lambdapapillomavirus	8	y
D90252.1_60_1310_1	Betapapillomavirus	9	y
DQ080000.1_102_1262_1	Alphapapillomavirus	8	y
DQ080079.1_78_1259_1	Alphapapillomavirus	10	y
DQ080080.1_123_1304_1	Alphapapillomavirus	6	y
DQ080081.1_231_1436_1	Gammapapillomavirus	6	y
DQ080083.1_540_1721_1	Alphapapillomavirus	10	y
DQ090005.2_303_1508_1	Betapapillomavirus	8	y
DQ091200.1_90_1280_1	Phipapillomavirus	4	y
DQ217793.1_51_1253_1	Dyoxipapillomavirus	5	y
DQ269468.1_129_1316_1	Pipapillomavirus	6	y
DQ295066.1_93_1277_1	Chipapillomavirus	10	y
DQ344807.1_171_1337_1	Alphapapillomavirus	10	y
DQ366842.1_138_1334_1	Psipapillomavirus	3	y
DQ664501.1_135_1322_1	Pipapillomavirus	5	y
DRR319698Score=299.228_Edges=9_Position=54_Alignment=40M2D30M1I86M9D28M1D15M3I44M4D5M2D68M3D58M_ScaffoldSuperpaths=_	Misgurnus_anguillicaudatus_associated	4	y
DRR336006_10198_ka_f_37.208_108-1289_1	Alphapapillomavirus	9	y
DRR336006_14876_ka_f_37.727_L_248168_57-1235_1	Alphapapillomavirus	7	y
DRR452111_551228_ka_f_11.322_L_1153038_L_1153038_L_1153038_L_1153038_96-1262_1	Bovine_associated	4	y
DRR472276Score=633.621_Edges=41_3_Position=1640_Alignment=162M2D101M1D68M3D58M_ScaffoldSuperpaths=_	Human_associated	9	y
DRR472365Score=637.978_Edges=2733_1089_1095_795_921_839_2643_2553_2549_3027_2597_1707_631_2283_625_2381_3163_289_285_1703_61_521_517_2697_1381_1383_2427_1653_1657_633_2541_2537_2751_2907_2317_2321_2159_1135_639_129_47_925_929_2775_3071_347_1745_1647_1445_1441_2687_2341_2655_2653_73_65_1517_89_85_2671_1981_1455_2747_1771_1349_331_1311_1959_1223_1801_1799_2373_1677_1679_2119_3173_2301_2395_1859_1615_2605_2199_2271_2265_2777_961_567_569_1021_163_167_1667_2083_2081_683_711_713_1643_2201_1197_1809_1523_261_263_3045_2765_1837_1831_1129_3033_871_997_1227_1769_1765_1079_2845_2847_789_791_877_919_1389_3135_2015_2017_2063_2065_1481_1791_2729_1967_1733_1735_1811_3193_1651_1649_989_621_539_2611_2613_Position=0_Alignment=264M1D69M3D58M_ScaffoldSuperpaths=_	Human_associated	5	y
DRR472482Score=615.611_Edges=17_21_Position=6217_Alignment=40M2I122M1D102M1D70M1D58M_ScaffoldSuperpaths=_	Human_associated	5	y
DRR472567Score=621.43_Edges=45_75_31_57_Position=293_Alignment=40M1I296M1D58M_ScaffoldSuperpaths=_	Human_associated	4	y
DRR472588Score=654.766_Edges=38049_41645_22055_5301_25043_3325_14885_12565_12561_4623_9861_43911_11251_7031_43145_28575_8749_8757_24251_24257_24887_12641_8885_5929_5925_2145_15527_15529_37885_35687_12757_30365_30361_12703_3307_35103_15437_15439_4557_11871_43523_36235_36231_20681_8873_8427_27741_27747_33207_29827_5709_5715_38551_36901_31533_31541_8585_5527_9973_9975_17331_17335_10923_10919_4409_37285_26833_26835_13825_13829_38995_4223_505_28053_28061_4887_42407_8665_13587_13591_17525_25201_25207_37723_21875_10487_23221_21239_2463_39655_39651_35657_43869_29071_32775_32769_33403_29619_34189_43715_4829_4835_19661_11195_16791_31743_31751_18739_3113_8371_14605_31389_26751_42931_32273_6583_32591_32593_3129_3119_31185_31191_35247_25785_14901_3293_7767_7773_43003_1141_27377_38451_28213_41609_41617_30397_1473_10125_5041_36637_36643_30833_38125_38123_29801_29793_21929_37861_37863_20251_39281_38247_38245_21973_3797_3795_3709_35521_35515_23099_23101_36709_16213_16219_1405_6495_21039_21459_17607_42235_42241_3153_21805_21803_36353_35819_21427_11477_11531_35149_7429_43331_43327_23441_23009_23007_9903_9909_315_309_9439_5561_17757_24585_39693_39701_34067_Position=1429_Alignment=40M2I295M2D58M_ScaffoldSuperpaths=_	Human_associated	9	y
EF028290.1_57_1277_1	Betapapillomavirus	9	y
EF177176.1_198_1370_1	Alphapapillomavirus	10	y
EF177189.1_198_1370_1	Alphapapillomavirus	10	y
EF422221.1_114_1319_1	Betapapillomavirus	9	y
EF467176.1_135_1337_1	Gammapapillomavirus	8	y
EF536349.1_108_1286_1	Omegapapillomavirus	7	y
EF546469.1_84_1253_1	Alphapapillomavirus	10	y
EF558838.1_240_1406_1	Alphapapillomavirus	10	y
EF558839.2_87_1250_1	Alphapapillomavirus	10	y
EF558840.1_138_1301_1	Alphapapillomavirus	10	y
EF558841.1_147_1319_1	Alphapapillomavirus	10	y
EF558842.1_198_1364_1	Alphapapillomavirus	10	y
EF558843.1_147_1316_1	Alphapapillomavirus	10	y
EF584537.1_162_1331_1	Chipapillomavirus	10	y
EF591300.1_147_1319_1	Alphapapillomavirus	10	y
EF680235.1_90_1271_1	Deltapapillomavirus	8	y
ERR10188009_10374_ka_f_7.625_99-1295_1	Bovine_associated	4	y
ERR10188014Score=575.246_Edges=21_Position=1781_Alignment=40M2D222M1D71M1D58M_ScaffoldSuperpaths=_	Bovine_associated	5	y
ERR10188083_7788_ka_f_9.141_117-1292_1	Bovine_associated	6	y
ERR10188112_96_ka_f_41.396_L_96_L_96_129-1307_1	Bovine_associated	5	y
ERR10188114_7499_ka_f_11.335_84-1256_1	Bovine_associated	6	y
ERR10188115_7453_ka_f_18.562_L_7453_L_7453_114-1283_1	Bovine_associated	5	y
ERR10188211_15517_ka_f_6.200_L_4079_L_193932_24-1211_1	Bovine_associated	9	y
ERR10188212_289_ka_f_9.093_3-1190_1	Bovine_associated	6	y
ERR10447056_1195580_ka_f_6.837_0-1145_1	Vulpes_lagopus_associated	9	y
ERR10447066_222141_ka_f_40.090_L_222141_L_222141_111-1292_1	Canis_familiaris_associated	10	y
ERR10824108Score=395.909_Edges=3_Position=4560_Alignment=40M5D27M1I49M28I41M1D48M2I53M6D125M_ScaffoldSuperpaths=_	Gadus_morhua_associated	7	y
ERR10856959Score=665.25_Edges=83_69_Position=2643_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_	Human_associated	5	y
ERR10857021Score=643.272_Edges=5_Position=3719_Alignment=121M1D136M7I8M3I70M1I59M_ScaffoldSuperpaths=_	Gammapapillomavirus	3	y
ERR10942642_120924_ka_f_40.186_L_120924_L_120924_141-1346_1	Perodicticus_potto_associated	5	y
ERR10942648Score=629.754_Edges=3_3_Position=6715_Alignment=40M2I81M2I41M1D103M2I70M2I59M_ScaffoldSuperpaths=_	Perodicticus_potto_associated	5	y
ERR10972965_850882_ka_f_787.436_L_850882_L_850882_60-1253_1	Tarsius_dentatus_associated	7	y
ERR11028317Score=609.68_Edges=43_7_63_69_71_Position=1871_Alignment=161M2D95M7I78M7I59M_ScaffoldSuperpaths=_	Gorilla_gorilla_associated	3	y
ERR11203034_1304534_ka_f_11.833_L_1304534_L_1304534_390-1574_1	Canis_familiaris_associated	5	y
ERR11203045_133039_ka_f_28.897_L_133039_L_5248402_L_133039_114-1301_1	Canis_familiaris_associated	8	y
ERR11203069_3540346_ka_f_44.413_L_4886755_L_1717691_72-1253_1	Canis_familiaris_associated	6	y
ERR11213956_1223340_ka_f_1882.574_L_2167026_L_2167027_L_6289913_L_6289914_108-1289_1	Canis_familiaris_associated	7	y
ERR11223860_348186_ka_f_12.078_132-1328_1	Canis_familiaris_associated	4	y
ERR11223860_712030_ka_f_1396.933_L_4490815_L_11609920_L_5611223_L_5611224_L_5611225_42-1223_1	Canis_familiaris_associated	7	y
ERR11271768_2292159_ka_f_11.526_84-1271_1	Canis_familiaris_associated	7	y
ERR11271768_87624_ka_f_15.430_L_15196277_234-1412_1	Canis_familiaris_associated	7	y
ERR11284567_173521_ka_f_1310.052_L_6480890_L_6480891_L_681676_198-1382_1	Canis_familiaris_associated	7	y
ERR11284567_560642_ka_f_1482.555_L_13182773_L_13294070_L_752176_210-1388_1	Canis_familiaris_associated	5	y
ERR11284570_621919_ka_f_2031.763_L_6438252_L_6441684_L_787910_72-1244_1	Canis_familiaris_associated	7	y
ERR11403158_1683236_ka_f_7.246_L_2069517_L_4657239_147-1325_1	Canis_familiaris_associated	7	y
ERR11785766_79526_ka_f_135.587_L_79526_L_79526_81-1256_1	Syncerus_caffer_associated	6	y
ERR11785783_542324_ka_f_124.224_L_542324_L_542324_87-1253_1	Syncerus_caffer_associated	5	y
ERR1301447_2108_ka_f_5.661_51-1232_1	Bat_associated	7	y
ERR1301474_1788_ka_f_8.370_57-1247_1	Rat_associated	5	y
ERR1301521_1469_ka_f_15.866_L_1469_L_1469_51-1232_1	Bat_associated	7	y
ERR1301530_3971_ka_f_10.046_168-1343_1	Bat_associated	9	y
ERR1301851_4027_ka_f_32.367_L_4027_L_4027_51-1223_1	Bat_associated	9	y
ERR140767Score=632.892_Edges=65_45_123_59_55_89_105_Position=28_Alignment=40M2I81M1D212M3D58M_ScaffoldSuperpaths=_	Human_associated	5	y
ERR164659_420_ka_f_26.767_L_420_L_420_198-1391_1	Human_associated	10	y
ERR164661Score=625.452_Edges=43_59_57_73_71_45_Position=69_Alignment=40M1I224M1D71M1D58M_ScaffoldSuperpaths=_	Human_associated	4	y
ERR1659874_71_ka_f_14.402_75-1316_1	Gadus_morhua_associated	7	y
ERR2756792_1679_ka_f_8.853_57-1241_1	Desmodus_rotundus_associated	5	y
ERR2850639_484271_ka_f_25.795_L_484271_L_484271_72-1301_1	Gadus_morhua_associated	8	y
ERR2985417_92987_ka_f_10.325_L_92987_L_92987_51-1226_1	Bos_taurus_associated	4	y
ERR3209766_3734_ka_f_76.491_L_3734_L_3734_135-1340_1	Gammapapillomavirus	6	y
ERR3209929_15310_ka_f_14.644_L_198537_93-1310_1	Betapapillomavirus	10	y
ERR3281568_196968_ka_f_100.981_L_196968_L_196968_54-1205_1	Capra_hircus_associated	7	y
ERR3298753_352415_ka_f_10.866_48-1241_1	"	Marmota_marmota_associated"	6	y
ERR3569485_18719_ka_f_8.601_L_231434_L_306770_45-1223_1	Desmodus_rotundus_associated	5	y
ERR3674534_89601_ka_f_45.602_L_89601_L_89601_93-1310_1	Human_associated	6	y
ERR3674564_47926_ka_f_238.354_L_47926_L_47926_48-1256_1	Human_associated	7	y
ERR4982086_9616_ka_f_19.944_L_9616_L_9616_63-1262_1	Human_associated	8	y
ERR5084170_1659_ka_f_33.677_L_1659_L_1659_96-1304_1	Betapapillomavirus	6	y
ERR7256387_570539_ka_f_48.802_L_570539_L_570539_126-1301_1	Mustela_putorious_associated	7	y
EU069819.1_57_1244_1	"Perameles_bougainville	_associated"	4	y
EU077224.1_123_1316_1	Alphapapillomavirus	8	y
EU188799.1_99_1289_1	Dyoepsilonpapillomavirus	6	y
EU240894.1_84_1298_1	Upsilonpapillomavirus	6	y
EU240895.1_84_1286_1	Upsilonpapillomavirus	6	y
EU277647.1_57_1244_1	Mustela_putorious_associated	2	y
EU410347.1_129_1331_1	Betapapillomavirus	9	y
EU410348.1_120_1325_1	Betapapillomavirus	6	y
EU490516.1_147_1319_1	Alphapapillomavirus	10	y
EU493091.1_72_1262_1	Dyozetapapillomavirus	4	y
EU493092.1_87_1277_1	Dyozetapapillomavirus	4	y
EU503122.1_117_1301_1	Dyoiotapapillomavirus	8	y
EU541441.1_141_1352_1	Gammapapillomavirus	5	y
EU541442.1_87_1316_1	Gammapapillomavirus	6	y
EU796884.1_147_1331_1	Dyodeltapapillomavirus	5	y
EU918767.1_123_1304_1	Alphapapillomavirus	9	y
FB344172.1_45_1226_1	Alphapapillomavirus	8	y
FJ379293.1_51_1250_1	Dyoetapapillomavirus 	5	y
FJ492742.1_66_1244_1	Taupapillomavirus	7	y
FJ492743.1_66_1250_1	Chipapillomavirus	10	y
FJ492744.1_54_1244_1	Lambdapapillomavirus	8	y
FJ796965.1_93_1271_1	Dyokappapapillomavirus	4	y
FJ804072.1_48_1259_1	Gammapapillomavirus	7	y
FJ947080.1_93_1310_1	Betapapillomavirus	10	y
FM212639.1_84_1292_1	Gammapapillomavirus	6	y
FM955838.1_174_1397_1	Betapapillomavirus	9	y
FM955839.1_171_1367_1	Betapapillomavirus	9	y
