 ,node,branch.length,label,isTip,x,y,branch,angle,x10,status,generalization,broader_gen,specific_species,
2145,1029,0.053774437,SRR25664442Score_559.533_,TRUE,4.67101936,82,4.644132141,26.59459459,Accipiter_madagascariensis_associated,novel,Avian,Avian,Accipiter_madagascariensis_associated,Accipiter_madagascariensis_associated
2145,1028,0.088750881,SRR18767723_150562_,TRUE,4.705995803,81,4.661620363,26.27027027,Accipiter_nisus_associated,novel,Avian,Avian,Accipiter_nisus_associated,Accipiter_nisus_associated
2142,1026,1.03E-06,SRR25662783Score_530.687_,TRUE,5.040083131,88,5.040082618,28.54054054,Aquila_gurneyi_associated,novel,Avian,Avian,Aquila_gurneyi_associated,Aquila_gurneyi_associated
2152,1039,0.493431352,OP628184.1_120_1301_1,TRUE,4.491607635,72,4.244891959,23.35135135,Columba_livia_associated,ncbi,Avian,Avian,Columba_livia_associated,Columba_livia_associated
2147,1031,0.083516169,SRR19431669_13553_,TRUE,4.637895618,85,4.596137533,27.56756757,Dendrortyx_leucophrys_associated,novel,Avian,Avian,Dendrortyx_leucophrys_associated,Dendrortyx_leucophrys_associated
2147,1030,0.090082282,EU188799.1_99_1289_1,TRUE,4.644461731,84,4.59942059,27.24324324,Dyoepsilonpapillomavirus,ncbi,Avian,Avian,Francolinus_leucoscepus,Francolinus_leucoscepus_associated
2151,1035,0.329890394,MF564196.1_66_1250_1,TRUE,4.745303115,76,4.580357918,24.64864865,Etapapillomavirus,ncbi,Avian,Avian,Serinus_canaria,Serinus_canaria_associated
2151,1036,0.431033127,AY057109.1_54_1247_1,TRUE,4.846445848,77,4.630929284,24.97297297,Etapapillomavirus,ncbi,Avian,Avian,Fringilla_coelebs,Fringilla_coelebs_associated
2150,1037,0.284517126,BK066727.1_186_1376_1,TRUE,4.60612455,75,4.463865987,24.32432432,Etapapillomavirus,ncbi,Avian,Avian,Luscinia,Luscinia_associated
2142,1025,1.03E-06,SRR25648973_196396_,TRUE,5.040083131,87,5.040082618,28.21621622,Falco_sparverius_associated,novel,Avian,Avian,Falco_sparverius_associated,Falco_sparverius_associated
2144,1027,0.177726774,SRR13719170Score_558.191_,TRUE,4.658932057,80,4.57006867,25.94594595,Falco_striatus_associated,novel,Avian,Avian,Falco_striatus_associated,Falco_striatus_associated
2141,1024,0.420586632,SRR7530174_17519_,TRUE,5.075591628,86,4.865298312,27.89189189,Nipponia_nippon_associated,novel,Avian,Avian,Nipponia_nippon_associated,Nipponia_nippon_associated
1284,150,0.140776456,BK066545.1_63_1247_1,TRUE,6.075683103,784,6.005294875,254.2702703,Numida_associated,ncbi,Avian,Avian,Numida_associated,Numida_associated
2135,1014,0.061952713,MK620336.1_54_1241_1,TRUE,5.106575929,92,5.075599572,29.83783784,Rissa_tridactyla_associated,ncbi,Avian,Avian,Rissa_tridactyla_associated,Rissa_tridactyla_associated
2135,1015,0.23437285,MK620340.1_225_1406_1,TRUE,5.278996065,93,5.16180964,30.16216216,Rissa_tridactyla_associated,ncbi,Avian,Avian,Rissa_tridactyla_associated,Rissa_tridactyla_associated
2138,1017,0.51906308,MK620341.1_33_1217_1,TRUE,5.478948555,95,5.219417015,30.81081081,Rissa_tridactyla_associated,ncbi,Avian,Avian,Rissa_tridactyla_associated,Rissa_tridactyla_associated
2139,1019,0.061918966,MK620305.1_75_1271_1,TRUE,5.161580739,97,5.130621256,31.45945946,Rissa_tridactyla_associated,ncbi,Avian,Avian,Rissa_tridactyla_associated,Rissa_tridactyla_associated
2139,1020,0.162470356,MK620334.1_75_1265_1,TRUE,5.262132129,98,5.180896951,31.78378378,Rissa_tridactyla_associated,ncbi,Avian,Avian,Rissa_tridactyla_associated,Rissa_tridactyla_associated
2149,1038,0.425042789,SRR12566196_734_,TRUE,4.677217582,74,4.464696188,24,Thamnophilus_doliatus_associated,novel,Avian,Avian,Thamnophilus_doliatus_associated,Thamnophilus_doliatus_associated
2152,1040,0.516976505,AF420235.1_81_1253_1,TRUE,4.515152788,73,4.256664536,23.67567568,Psittacus_erithacus_timneh_associated,ncbi,Avian,Avian,Psittacus_erithacus_timneh_associated,Psittacus_erithacus_timneh_associated
2140,1022,0.437843616,MF168943.1_72_1250_1,TRUE,5.11608483,89,4.897163022,28.86486486,Pygoscelis_adeliae_asspcoated,ncbi,Avian,Avian,Pygoscelis_adeliae_asspcoated,Pygoscelis_adeliae_asspcoated
