V1	X	node	branch.length	isTip	x	y	branch	angle	x10	status	generalization	broader_gen	specific_species	specific_association	lib	V2			
SRR24184640_192549_	2205	1093	0.094812365	TRUE	3.864166007	23	3.816759825	7.459459459	Zhangixalus_hui_associated	novel	Amphibian	Amphibian	Zhangixalus_hui_associated	Zhangixalus_hui_associated	SRR24184640	Other			
SRR8379619Score_261.058_	NA	NA	NA	NA	NA	NA	NA	NA	NA	novel	Amphibian	Amphibian	Triturus_ivanbureschi_associated	Triturus_ivanbureschi_associated	NA	NA			
SRR8379619_65067_	2194	1083	0.445188496	TRUE	3.038344228	5	2.81574998	1.621621622	Triturus_ivanbureschi_associated	novel	Amphibian	Amphibian	Triturus_ivanbureschi_associated	Triturus_ivanbureschi_associated	SRR8379619	Other			
MW582900.1_141_1166_1	2199	1110	2.039053846	TRUE	3.126239842	10	2.106712919	3.243243243	Rhinella_marina_associated	ncbi	Amphibian	Amphibian	Rhinella_marina_associated	Rhinella_marina_associated	MW582900.1	Other			
BK066841.1_57_1214_1	2204	1094	0.670091387	TRUE	3.559471141	21	3.224425447	6.810810811	Rana_jiemuxiensis_associated	ncbi	Amphibian	Amphibian	Rana_jiemuxiensis_associated	Rana_jiemuxiensis_associated	BK066841.1	Other			
BK066313.1_45_1187_1	2211	1099	0.378884215	TRUE	4.315183129	25	4.125741021	8.108108108	Rana_jiemuxiensis_associated	ncbi	Amphibian	Amphibian	Rana_jiemuxiensis_associated	Rana_jiemuxiensis_associated	BK066313.1	Other			
BK066894.1_9_1235_1	2208	1097	0.448318988	TRUE	4.173739911	28	3.949580417	9.081081081	Rana_jiemuxiensis_associated	ncbi	Amphibian	Amphibian	Rana_jiemuxiensis_associated	Rana_jiemuxiensis_associated	BK066894.1	Other			
SRR14731645_254385_	2216	1103	0.315327395	TRUE	2.916029722	17	2.758366024	5.513513514	Ptychadena_neumanni_associated	novel	Amphibian	Amphibian	Ptychadena_neumanni_associated	Ptychadena_neumanni_associated	SRR14731645	Other			
SRR14731645_238372_	2215	1102	0.592396931	TRUE	3.123783866	16	2.827585401	5.189189189	Ptychadena_neumanni_associated	novel	Amphibian	Amphibian	Ptychadena_neumanni_associated	Ptychadena_neumanni_associated	SRR14731645	Other			
SRR24719138_20345_	2216	1104	0.248136488	TRUE	2.848838815	18	2.724770571	5.837837838	Ptychadena_erlangeri_associated	novel	Amphibian	Amphibian	Ptychadena_erlangeri_associated	Ptychadena_erlangeri_associated	SRR24719138	GENOMIC			
SRR19430196_31104_	2217	1106	0.045706676	TRUE	2.700887081	15	2.678033743	4.864864865	Ptychadena_beka_associated	novel	Amphibian	Amphibian	Ptychadena_beka_associated	Ptychadena_beka_associated	SRR19430196	GENOMIC			
SRR18363241_159223_	2202	1090	0.314003193	TRUE	3.218493059	19	3.061491463	6.162162162	Phyllomedusa_bahiana_associated	novel	Amphibian	Amphibian	Phyllomedusa_bahiana_associated	Phyllomedusa_bahiana_associated	SRR18363241	GENOMIC			
SRR22691042_22193_	2202	1091	0.349911769	TRUE	3.254401635	20	3.079445751	6.486486486	Oophaga_sylvatica_associated	novel	Amphibian	Amphibian	Oophaga_sylvatica_associated	Oophaga_sylvatica_associated	SRR22691042	Other			
SRR20701368_3697_	2213	1107	0.74960322	TRUE	3.068835534	13	2.694033924	4.216216216	Lithobates_catesbeianus_associated	novel	Amphibian	Amphibian	Lithobates_catesbeianus_associated	Lithobates_catesbeianus_associated	SRR20701368	TRANSCRIPTOMIC			
SRR8104729_654_	2207	1098	0.620422862	TRUE	4.083761915	27	3.773550485	8.756756757	Limnonectes_kadarsani_associated	novel	Amphibian	Amphibian	Limnonectes_kadarsani_associated	Limnonectes_kadarsani_associated	SRR8104729	GENOMIC			
BK066795.1_45_1154_1	2218	1109	1.308241113	TRUE	3.538176935	12	2.884056378	3.891891892	Leptobrachium_leishanense_associated	ncbi	Amphibian	Amphibian	Leptobrachium_leishanense_associated	Leptobrachium_leishanense_associated	BK066795.1	Other			
BK066762.1_57_1157_1	2218	1108	0.804421179	TRUE	3.034357001	11	2.632146411	3.567567568	Leptobrachium_leishanense_associated	ncbi	Amphibian	Amphibian	Leptobrachium_leishanense_associated	Leptobrachium_leishanense_associated	BK066762.1	Other			
SRR4332828Score_261.287_	NA	NA	NA	NA	NA	NA	NA	NA	NA	novel	Amphibian	Amphibian	Rana_jiemuxiensis_associated	Rana_jiemuxiensis_associated	a	NA			
SRR24184641_16550_	NA	NA	NA	NA	NA	NA	NA	NA	NA	novel	Amphibian	Amphibian	Zhangixalus_hu_associated	Zhangixalus_hu_associated	a	NA			
SRR24719200_30273_	2217	1105	0.156520259	TRUE	2.811700665	14	2.733440535	4.540540541	Ptychadena_cooperi_associated	novel	Amphibian	Amphibian	Human_associated	Ptychadena_cooperi_associated	SRR24719200	GENOMIC			
SRR24184635SRR24184635Score_265.377_	NA	NA	NA	NA	NA	NA	NA	NA	NA	novel	Amphibian	Amphibian	Zhangixalus_dugritei_associated	Zhangixalus_dugritei_associated	a	NA			
SRR24725051_117114_	2197	1085	0.164741368	TRUE	3.141437291	9	3.059066607	2.918918919	Desmognathus_mavrokoilius_associated	novel	Amphibian	Amphibian	Desmognathus_mavrokoilius_associated	Desmognathus_mavrokoilius_associated	SRR24725051	GENOMIC			
SRR24725051_232888_	2195	1087	0.07533903	TRUE	2.829716879	6	2.792047364	1.945945946	Desmognathus_mavrokoilius_associated	novel	Amphibian	Amphibian	Desmognathus_mavrokoilius_associated	Desmognathus_mavrokoilius_associated	SRR24725051	GENOMIC			
SRR24724941_48294_	2196	1086	0.107133353	TRUE	2.917625701	7	2.864059024	2.27027027	Desmognathus_kanawha_associated	novel	Amphibian	Amphibian	Desmognathus_kanawha_associated	Desmognathus_kanawha_associated	SRR24724941	GENOMIC			
SRR14731653Score_259.03_	NA	NA	NA	NA	NA	NA	NA	NA	NA	novel	Amphibian	Amphibian	Ptychadena_nilotica_associated	Ptychadena_nilotica_associated	a	NA			
BK066884.1_180_1280_1	2198	1088	0.289104399	TRUE	2.724635455	2	2.580083256	0.648648649	Ambystoma_mexicanum_associated	ncbi	Amphibian	Amphibian	Ambystoma_mexicanum_associated	Ambystoma_mexicanum_associated	BK066884.1	Other			
SRR5042766_2243_	2198	1089	0.419821742	TRUE	2.855352798	3	2.645441927	0.972972973	Ambystoma_mexicanum_associated	novel	Amphibian	Amphibian	Ambystoma_mexicanum_associated	Ambystoma_mexicanum_associated	SRR5042766	Other			
SRR12566196_734_	2149	1038	0.425042789	TRUE	4.677217582	74	4.464696188	24	Thamnophilus_doliatus_associated	novel	Avian	Avian	Thamnophilus_doliatus_associated	Thamnophilus_doliatus_associated	SRR12566196	GENOMIC			
MF564196.1_66_1250_1	2151	1035	0.329890394	TRUE	4.745303115	76	4.580357918	24.64864865	Etapapillomavirus	ncbi	Avian	Avian	Serinus_canaria_associated	Serinus_canaria_associated	MF564196.1	Other			
MK620336.1_54_1241_1	2135	1014	0.061952713	TRUE	5.106575929	92	5.075599572	29.83783784	Rissa_tridactyla_associated	ncbi	Avian	Avian	Rissa_tridactyla_associated	Rissa_tridactyla_associated	MK620336.1	Other			
MK620340.1_225_1406_1	2135	1015	0.23437285	TRUE	5.278996065	93	5.16180964	30.16216216	Rissa_tridactyla_associated	ncbi	Avian	Avian	Rissa_tridactyla_associated	Rissa_tridactyla_associated	MK620340.1	Other			
MK620341.1_33_1217_1	2138	1017	0.51906308	TRUE	5.478948555	95	5.219417015	30.81081081	Rissa_tridactyla_associated	ncbi	Avian	Avian	Rissa_tridactyla_associated	Rissa_tridactyla_associated	MK620341.1	Other			
MK620305.1_75_1271_1	2139	1019	0.061918966	TRUE	5.161580739	97	5.130621256	31.45945946	Rissa_tridactyla_associated	ncbi	Avian	Avian	Rissa_tridactyla_associated	Rissa_tridactyla_associated	MK620305.1	Other			
MK620334.1_75_1265_1	2139	1020	0.162470356	TRUE	5.262132129	98	5.180896951	31.78378378	Rissa_tridactyla_associated	ncbi	Avian	Avian	Rissa_tridactyla_associated	Rissa_tridactyla_associated	MK620334.1	Other			
