Newick_label	host
SRR25288600_363618_ka_f_9-208___0-1166_1	bat metagenome
SRR10902309_46767_ka_f_48-102_L_46767_L_46767___126-1310_1	Ceratotherium simum simum
ERR11785766_79526_ka_f_135-587_L_79526_L_79526___81-1256_1	Syncerus caffer
ERR10188114_7499_ka_f_11-335___84-1256_1	milk metagenome
ERR10188083_7788_ka_f_9-141___117-1292_1	milk metagenome
SRR22679053_21748_ka_f_47-037_L_21748_L_21748___120-1298_1	Bubalus bubalis
SRR11842090_13702_ka_f_15-282___75-1253_1	Bubalus bubalis
ERR10188112_96_ka_f_41-396_L_96_L_96___129-1307_1	milk metagenome
SRR24955661_163566_ka_f_44-762_L_163566_L_163566_L_5985605___81-1262_1	bovine metagenome
ERR3281568_196968_ka_f_100-981_L_196968_L_196968___54-1205_1	Capra hircus
SRR18312696_386168_ka_f_9-926___147-1319_1	Giraffa reticulata
SRR22103697_35462_ka_f_9-672___126-1304_1	milk metagenome
SRR23881938_1424_ka_f_40-518_L_6168_L_88190_L_31592___57-1223_1	milk metagenome
SRR17035106_3316_ka_f_20-135_L_550708_L_550708___54-1202_1	gut metagenome
SRR17035106_10706_ka_f_7-078_L_550708___54-1220_1	gut metagenome
SRR17035106_825_ka_f_7-191___54-1217_1	gut metagenome
SRR11913441_2416_ka_f_26-942_L_2416_L_2416___57-1229_1	skin metagenome
ERR10188115_7453_ka_f_18-562_L_7453_L_7453___114-1283_1	milk metagenome
ERR11785783_542324_ka_f_124-224_L_542324_L_542324___87-1253_1	Syncerus caffer
ERR10447066_222141_ka_f_40-090_L_222141_L_222141___111-1292_1	Vulpes lagopus
ERR11403158_1683236_ka_f_7-246_L_2069517_L_4657239___147-1325_1	Canis lupus familiaris
ERR11203045_133039_ka_f_28-897_L_133039_L_5248402_L_133039___114-1301_1	Canis lupus familiaris
SRR13318616_110537_ka_f_17-398_L_110537_L_110537___120-1298_1	Peromyscus maniculatus
SRR22071722_15320_ka_f_12-517___57-1232_1	viral metagenome
SRR19742209_1126578_ka_f_8-421___123-1298_1	air metagenome
SRR5447145_588_ka_f_10-579___198-1373_1	rodent metagenome
SRR26070879_529058_ka_f_45-946_L_7114440___228-1403_1	Myodes glareolus
SRR5384553_885_ka_f_14-080___231-1412_1	rodent metagenome
SRR25256522_663139_ka_f_8-130___246-1421_1	Manidae sp.
SRR25256528_292062_ka_f_517-540_L_292062_L_292062___477-1652_1	Manidae sp.
SRR25256604_400055_ka_f_8-014___279-1412_1	Manidae sp.
SRR2063938_281_ka_f_16-593_L_2781___57-1235_1	bat metagenome
SRR25288764_13700_ka_f_14-295___72-1253_1	bat metagenome
SRR25288764_68983_ka_f_24-067___297-1475_1	bat metagenome
SRR15046105_1835_ka_f_6-093___0-1106_1	Danio rerio
DRR336006_14876_ka_f_37-727_L_248168___57-1235_1	Bombyx mori
ERR164659_420_ka_f_26-767_L_420_L_420___198-1391_1	Chlamydia trachomatis
SRR8434718_67265_ka_f_7-733_L_530415_L_29332___63-1235_1	Cyamopsis tetragonoloba
DRR336006_10198_ka_f_37-208___108-1289_1	Bombyx mori
ERR7256387_570539_ka_f_48-802_L_570539_L_570539___126-1301_1	Mustela putorius
ERR11271768_2292159_ka_f_11-526___84-1271_1	Canis lupus familiaris
SRR13235220_9564_ka_f_29-494___84-1268_1	Canis lupus familiaris
ERR11203034_1304534_ka_f_11-833_L_1304534_L_1304534___390-1574_1	Canis lupus familiaris
ERR10447056_1195580_ka_f_6-837___0-1145_1	Vulpes lagopus
SRR13233212_7133_ka_f_39-817_L_7133_L_7133___384-1571_1	Canis lupus familiaris
SRR18442637_22623_ka_f_25-635_L_22623_L_22623___207-1391_1	Canis lupus familiaris
SRR21770678_48369_ka_f_39-976___261-1445_1	Canis lupus familiaris
SRR15442792_2125_ka_f_210-967_L_2125_L_2125___78-1253_1	viral metagenome
ERR2756792_1679_ka_f_8-853___57-1241_1	Desmodus rotundus
SRR14611555_2230_ka_f_23-050_L_2230_L_2230___267-1421_1	food metagenome
SRR20078264_4021_ka_f_10-293_L_4021_L_4021___66-1346_1	Oncorhynchus mykiss
SRR11743604_76211_ka_f_13-063_L_59118_L_7554___0-1157_1	Malapterurus electricus
SRR22213301_62214_ka_f_769-918_L_62214_L_62214___81-1265_1	Chionodraco hamatus
SRR26349144_512_ka_f_268-385_L_76358_L_402254_L_31276_L_436373___51-1238_1	Cyclopterus lumpus
SRR21231055_24198_ka_f_9-843_L_16273_L_114049___48-1304_1	Paralichthys olivaceus
SRR12851781_28432_ka_f_47-228_L_28432_L_28432___72-1259_1	Gadus morhua
SRR9897644_673202_ka_f_7-942___60-1205_1	Astyanax mexicanus
SRR16268598_38627_ka_f_75-350_L_49149_L_96116_L_49149_L_96116___57-1226_1	Hypophthalmichthys nobilis
SRR5450932_30728_ka_f_28-994_L_208813_L_371022_L_27350_L_319127___54-1172_1	Tachysurus fulvidraco x Tachysurus vachelli
SRR12532606_97845_ka_f_49-909_L_16883_L_184004___60-1265_1	Carassius gibelio
ERR1659874_71_ka_f_14-402___75-1316_1	Gadus morhua
SRR5042766_2243_ka_f_10-000___39-1166_1	Ambystoma mexicanum
SRR8379619_65067_ka_f_25-295_L_353429_L_200442___48-1448_1	Triturus ivanbureschi
SRR24724941_48294_ka_f_26-790_L_48294_L_48294___57-1349_1	Desmognathus kanawha
SRR24725051_117114_ka_f_11-573_L_6115604_L_1268227___18-1334_1	Desmognathus mavrokoilius
SRR24725051_232888_ka_f_26-173_L_6115604_L_1268227___18-1307_1	Desmognathus mavrokoilius
SRR20701368_3697_ka_f_81-159_L_390569_L_423575_L_243499___45-1184_1	
SRR24719200_30273_ka_f_18-600___45-1145_1	Ptychadena cooperi
SRR19430196_31104_ka_f_22-247_L_31104_L_31104___45-1151_1	Ptychadena beka
SRR14731645_238372_ka_f_15-795_L_9849982_L_4506929___45-1199_1	Ptychadena neumanni
SRR24719138_20345_ka_f_25-949_L_20345_L_20345_L_46153___45-1142_1	Ptychadena erlangeri
SRR14731645_254385_ka_f_11-562_L_9849982_L_4506929___45-1166_1	Ptychadena neumanni
SRR18363241_159223_ka_f_54-618_L_159223_L_159223___120-1331_1	Phyllomedusa bahiana
SRR22691042_22193_ka_f_110-076___66-1250_1	Oophaga sylvatica
SRR24184640_192549_ka_f_20-737_L_192549_L_192549___42-1178_1	Zhangixalus hui
SRR4332828_66_ka_f_14-824_L_145_L_353_L_516___45-1160_1	Rana jiemuxiensis
SRR8104729_654_ka_f_10-096_L_654_L_654___90-1328_1	Limnonectes kadarsani
SRR24111646_5467979_ka_f_182-953_L_32486780_L_7167075___36-1259_1	Zhangixalus dugritei
SRR11951209_2019_ka_f_41-343_L_74440___63-1286_1	Bufo gargarizans
SRR22028468_199653_ka_f_18-451_L_199653_L_199653___69-1301_1	Dibamus deharvengi
SRR14864829_83990_ka_f_8-315___102-1340_1	Phrynocephalus versicolor
SRR14864799_19801_ka_f_63-606_L_19801_L_19801___102-1316_1	Phrynocephalus versicolor
SRR14864762_78661_ka_f_51-944_L_78661_L_78661___102-1349_1	Phrynocephalus versicolor
SRR12604243_44526_ka_f_48-654___57-1349_1	Takydromus septentrionalis
SRR25737668_148436_ka_f_19-526_L_3521022_L_3112325___15-1250_1	Podarcis muralis
SRR25737668_153243_ka_f_41-491_L_3521022_L_3112325___15-1247_1	Podarcis muralis
SRR18767723_150562_ka_f_12-353_L_150562_L_150562___93-1280_1	Accipiter nisus
SRR19431669_13553_ka_f_143-093_L_13553_L_13553___84-1274_1	Dendrortyx leucophrys hypospodius
SRR7530174_17519_ka_f_24-116_L_17519_L_17519___108-1295_1	Nipponia nippon
SRR25648973_196396_ka_f_20-349_L_196396_L_196396___57-1238_1	Falco sparverius
SRR12566196_734_ka_f_562-169_L_734_L_734___150-1340_1	Thamnophilus doliatus
SRR17481190_13325_ka_f_16-783___51-1250_1	whole organism metagenome
SRR14825066_194_ka_f_7-867___60-1280_1	human skin metagenome
ERR3209929_15310_ka_f_14-644_L_198537___93-1310_1	metagenome
SRR13725758_10806_ka_f_26-226_L_58212_L_142641___138-1349_1	metagenome
ERR5084170_1659_ka_f_33-677_L_1659_L_1659___96-1304_1	metagenome
SRR7687706_223_ka_f_33-766_L_20312_L_18038___0-1205_1	human skin metagenome
SRR7687707_10380_ka_f_8-889_L_18094___0-1139_1	human skin metagenome
SRR27078527_32249_ka_f_5-800___90-1289_1	metagenome
SRR13765808_2079_ka_f_35-074_L_30389_L_33090___45-1220_1	Sarcophilus harrisii
SRR7122329_534_ka_f_791-697_L_31455_L_31456_L_27093_L_41073___132-1319_1	viral metagenome
ERR1301474_1788_ka_f_8-370___57-1247_1	viral metagenome
SRR22071730_45049_ka_f_8-371_L_190961___45-1238_1	viral metagenome
SRR26395441_306738_ka_f_12-615_L_306738_L_306738___144-1340_1	Potamochoerus larvatus
SRR13783792_45920_ka_f_54-088_L_45920_L_45920___81-1304_1	Mustela nivalis
SRR7408270_4561_ka_f_99-357_L_41828_L_60010_L_4763_L_108797___282-1496_1	Ursus arctos
SRR13726042_335_ka_f_49-303_L_335_L_335___90-1301_1	metagenome
SRR2005651_2957_ka_f_13-700___93-1310_1	human skin metagenome
SRR13725757_142_ka_f_20-411_L_142_L_142___60-1292_1	metagenome
SRR15899493_12438_ka_f_39-066_L_12438_L_12438___78-1307_1	human skin metagenome
