V1	X	node	branch.length	isTip	x	y	branch	angle	x10	status	generalization	broader_gen	specific_species	X.1	lib	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47
AB818687.1_156_1334_1	1198	63	2.4e-06	TRUE	5.618217033	533	5.618215835	172.8648649	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AB818687.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AB819275.1_129_1304_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU077224.1_123_1316_1	1193	56	0.004572627	TRUE	5.865761948	527	5.863475635	170.9189189	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	EU077224.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
M74117.1_81_1262_1	1203	73	0.19314719	TRUE	5.69214333	522	5.595569735	169.2972973	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	M74117.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
FB344172.1_45_1226_1	1204	72	0.057039485	TRUE	5.666281286	523	5.637761543	169.6216216	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	FB344172.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AY262282.1_240_1421_1	1166	25	2.61e-06	TRUE	6.532132762	589	6.532131458	191.027027	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AY262282.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
MP134368.1_42_1211_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU918767.1_123_1304_1	1167	30	0.165482156	TRUE	6.381034357	583	6.298293279	189.0810811	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	EU918767.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
CS077205.1_45_1235_1	1164	24	0.058015537	TRUE	6.432045606	587	6.403037838	190.3783784	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	CS077205.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
FB570775.1_120_1298_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB626705.1_54_1229_1	2078	955	0.008637426	TRUE	5.698344001	155	5.694025287	50.27027027	Deltapapillomavirus	ncbi	Cattle	Bovine	Bos_taurus	Bos_taurus_associated	AB626705.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
A07020.1_123_1298_1	1195	58	0.091857094	TRUE	5.907099927	530	5.86117138	171.8918919	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	A07020.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AF217526.1_42_1211_1	1224	95	0.066213762	TRUE	5.667338058	498	5.634231177	161.5135135	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AF217526.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
A28090.1_126_1301_1	1219	87	0.201708795	TRUE	5.857172905	507	5.756318507	164.4324324	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	A28090.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
EF546469.1_84_1253_1	1183	52	0.079910485	TRUE	5.964307185	566	5.924351942	183.5675676	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	EF546469.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
EF177176.1_198_1370_1	1182	48	1.03e-06	TRUE	6.100227722	569	6.100227209	184.5405405	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	EF177176.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
