parent	node	branch.length	label	isTip	x	y	branch	angle	status	generalization	broader_gen	specific_species	specific_association
1393	16	0.258894877	DRR319698Score_299_228__	TRUE	2.979465615	15	2.850018177	3.918722787	novel	Ray-finned Fish	Ray-finned Fish	Misgurnus anguillicaudatus	
1948	547	0.003191378	DRR336006_10198_	TRUE	6.920848654	957	6.919252965	250.0145138	novel	Insect	Other	Bombyx mori	
1862	460	0.006272461	DRR472266Score_638_763__	TRUE	6.781868592	983	6.778732362	256.8069666	novel	Human	Human	Human	
1877	478	0.221547041	DRR472276Score_633_621__	TRUE	6.66043412	963	6.5496606	251.5820029	novel	Human	Human	Human	
1885	488	0.070325685	DRR472369Score_629_744__	TRUE	6.386803302	991	6.351640459	258.8969521	novel	Human	Human	Human	
1899	498	0.184330637	DRR472482Score_615_611__	TRUE	6.617666681	1022	6.525501362	266.9956459	novel	Human	Human	Human	
1934	534	0.222010372	DRR472567Score_621_43__	TRUE	6.86234858	942	6.751343394	246.095791	novel	Human	Human	Human	
1903	503	0.225156728	DRR472588Score_654_766__	TRUE	6.571975437	1025	6.459397074	267.7793904	novel	Human	Human	Human	
1771	375	0.362470465	ERR10188014Score_575_246__	TRUE	6.801603273	1085	6.620368041	283.4542816	novel	Bovine	Bovine	Milk metagenome	
1801	403	0.102785474	ERR10188112_96_	TRUE	7.050126435	1080	6.998733698	282.1480406	novel	Bovine	Bovine	Milk metagenome	
2219	839	0.509426981	ERR10188203_1280_	TRUE	5.988950673	577	5.734237183	150.7402032	novel	Bovine	Bovine	Milk metagenome	
1389	6	0.196488735	ERR10824108Score_395_909__	TRUE	2.152879319	12	2.054634951	3.134978229	novel	Ray-finned Fish	Ray-finned Fish	Gadus morhua	
2280	883	0.059998537	ERR10857021Score_643_272__	TRUE	5.966422013	192	5.936422744	50.15965167	novel	Human	Human	Human	
2421	1027	0.049986208	ERR11028317Score_609_68__	TRUE	6.358438213	428	6.333445109	111.8142235	novel	Non-human Primate	Non-human Primate	Gorilla gorilla	
2421	1026	0.016922577	ERR11028317Score_615_623__	TRUE	6.325374582	427	6.316913293	111.5529753	novel	Non-human Primate	Non-human Primate	Gorilla gorilla	
1822	415	0.118484962	ERR11271768_2292159_	TRUE	6.756289205	904	6.697046724	236.1683599	novel	Canine	Canine	Canis familiaris	
1825	421	0.14100904	ERR11284567_560642_	TRUE	6.683654892	909	6.613150372	237.4746009	novel	Canine	Canine	Canis familiaris	
1822	416	0.119096184	ERR11284570_2572796_	TRUE	6.756900426	905	6.697352334	236.4296081	novel	Canine	Canine	Canis familiaris	
2293	899	0.053151117	ERR11836052Score_649_062__	TRUE	5.803462062	176	5.776886503	45.9796807	novel	Human	Human	Human	
1495	87	0.20393753	ERR1301447_2108_	TRUE	6.713520068	1250	6.611551303	326.5602322	novel	Bat	Bat	Bat	
1495	88	0.11842064	ERR1301521_1469_	TRUE	6.628003178	1251	6.568792858	326.8214804	novel	Bat	Bat	Bat	
1522	117	0.302118223	ERR1301530_3971_	TRUE	6.804678147	1279	6.653619036	334.1364296	novel	Bat	Bat	Bat	
1944	552	0.021025044	ERR164661Score_625_452__	TRUE	6.685824643	953	6.675312121	248.969521	novel	Human	Human	Human	
2189	791	0.204172896	ERR3209762Score_643_914__	TRUE	6.27770035	670	6.175613902	175.0362845	novel	Metagenome	Other	Hospital metagenome	
2188	790	0.007370013	ERR3209880Score_649_198__	TRUE	6.058159546	669	6.054474539	174.7750363	novel	Metagenome	Other	Hospital metagenome	
2186	786	0.1944648	ERR3209880Score_650_84__	TRUE	6.262205431	672	6.16497303	175.5587808	novel	Metagenome	Other	Hospital metagenome	
1937	556	0.019291072	ERR3395907Score_636_626__	TRUE	6.415867035	944	6.406221499	246.6182874	novel	Neisseria gonorrhoeae	Other	Neisseria gonorrhoeae	
1835	438	0.22230686	ERR3569485_18719_	TRUE	6.200223822	885	6.089070392	231.2046444	novel	Bat	Bat	Desmodus rotundus	
2131	726	0.04747378	ERR3594004Score_645_06__	TRUE	6.367997414	717	6.344260524	187.3149492	novel	Human	Human	Gut metagenome	
2137	733	0.065630621	ERR3974441Score_659_81__	TRUE	6.174330062	724	6.141514752	189.1436865	novel	Human	Human	Skin metagenome	
2097	693	0.019190915	ERR3974441Score_660_022__	TRUE	6.210626701	761	6.201031244	198.8098694	novel	Human	Human	Skin metagenome	
2136	732	0.063304354	ERR3974446Score_658_813__	TRUE	6.130155175	723	6.098502998	188.8824383	novel	Human	Human	Skin metagenome	
2563	1166	0.045442703	ERR3974504Score_596_548__	TRUE	6.375094522	386	6.352373171	100.8417997	novel	Human	Human	Skin metagenome	
2691	1304	0.301677699	SRR10002895_29493_	TRUE	5.729418192	150	5.578579342	39.18722787	novel	Metagenome	Other	Air metagenome	
1390	10	0.230162582	SRR12532606_97845_	TRUE	1.870948135	8	1.755866844	2.089985486	novel	Ray-finned Fish	Ray-finned Fish	Carassius gibelio	
1728	332	0.008460054	SRR12596806_17216_	TRUE	6.509505586	1122	6.50527556	293.1204644	novel	Plant	Other	Prunus mira	
1826	419	0.121484313	SRR13233212_7133_	TRUE	6.717996577	910	6.65725442	237.7358491	novel	Canine	Canine	Canis familiaris	
1823	418	0.115593002	SRR13235220_9564_	TRUE	6.713066769	907	6.655270268	236.9521045	novel	Canine	Canine	Canis familiaris	
2599	1220	0.781843239	SRR13516717_19050_	TRUE	6.563573386	327	6.172651766	85.42815675	novel	Canine	Canine	Canis familiaris	
2148	802	0.047008946	SRR13726053Score_654_042__	TRUE	5.778194896	652	5.754690423	170.3338171	novel	Non-human Primate	Non-human Primate	Saimiri sciureus	
2642	1249	0.017121788	SRR13726053Score_662_082__	TRUE	5.94393248	265	5.935371586	69.23076923	novel	Non-human Primate	Non-human Primate	Saimiri sciureus	
2210	821	0.215819356	SRR13765801_3416_	TRUE	5.869243456	628	5.761333778	164.0638607	novel	Marsupial	Other	Sarcophilus harrisii	
2210	820	0.157337747	SRR13765808_2079_	TRUE	5.810761847	627	5.732092973	163.8026125	novel	Marsupial	Other	Sarcophilus harrisii	
2209	822	0.255536295	SRR13765811_2833_	TRUE	5.855766222	626	5.727998074	163.5413643	novel	Marsupial	Other	Sarcophilus harrisii	
