"V1"	"ncbi_host_broad"	"ncbi_host_specific"	"n_members"	"n_concordant"	"pct_concordant"
"AB793779.1_99_1280"	"Human"	"Human"	6	6	1
"AF131950.1_162_1343"	"Human"	"Human"	2	2	1
"AF151983.1_123_1304"	"Human"	"Human"	8	8	1
"AJ620209.1_165_1346"	"Human"	"Human"	54	54	1
"AJ620210.1_108_1316"	"Human"	"Human"	1	1	1
"AY330620.1_102_1286"	"Human"	"Human"	18	18	1
"AY395706.1_120_1298"	"Human"	"Human"	41	41	1
"BK066346.1_99_1316"	"Human"	"Human"	28	28	1
"BK066363.1_69_1280"	"Human"	"Human"	9	9	1
"BK066415.1_63_1253"	"Human"	"Human"	4	4	1
"BK066647.1_129_1349"	"Human"	"Human"	48	48	1
"BK066659.1_105_1319"	"Human"	"Human"	2	2	1
"DQ080078.1_135_1343"	"Human"	"Human"	3	3	1
"DQ080080.1_123_1304"	"Human"	"Human"	1	1	1
"DQ080081.1_231_1436"	"Human"	"Human"	3	3	1
"DQ344807.1_171_1337"	"Human"	"Human"	3	3	1
"FB582207.1_45_1223"	"Human"	"Human"	5	5	1
"FM212639.1_84_1292"	"Human"	"Human"	7	7	1
"GU117630.1_90_1307"	"Human"	"Human"	51	51	1
"GU117632.1_72_1271"	"Human"	"Human"	6	6	1
"GU117633.1_117_1328"	"Human"	"Human"	25	25	1
"GU129016.1_72_1286"	"Human"	"Human"	11	11	1
"GU233853.1_105_1319"	"Human"	"Human"	13	13	1
"HM999988.1_105_1325"	"Human"	"Human"	37	37	1
"HM999989.1_123_1322"	"Human"	"Human"	8	8	1
"HM999991.1_69_1277"	"Human"	"Human"	1	1	1
"HM999995.1_141_1364"	"Human"	"Human"	8	8	1
"HM999996.1_87_1313"	"Human"	"Human"	7	7	1
"HM999998.1_135_1343"	"Human"	"Human"	18	18	1
"JF304768.1_96_1316"	"Human"	"Human"	13	13	1
"JF906559.1_141_1349"	"Human"	"Human"	16	16	1
"JF966372.1_75_1280"	"Human"	"Human"	14	14	1
"JF966373.1_72_1274"	"Human"	"Human"	9	9	1
"JF966374.1_105_1328"	"Human"	"Human"	34	34	1
"JF966375.1_153_1373"	"Human"	"Human"	10	10	1
"JF966379.1_72_1274"	"Human"	"Human"	4	4	1
"JN171845.1_81_1295"	"Human"	"Human"	1	1	1
"JN211193.1_105_1328"	"Human"	"Human"	3	3	1
"JX413108.1_90_1283"	"Human"	"Human"	1	1	1
"JX413109.1_90_1286"	"Human"	"Human"	23	23	1
"JX413110.1_144_1361"	"Human"	"Human"	1	1	1
"JX444073.1_72_1268"	"Human"	"Human"	20	20	1
"KC862317.1_87_1319"	"Human"	"Human"	29	29	1
"KF006400.1_93_1304"	"Human"	"Human"	87	87	1
"KF482069.1_123_1346"	"Human"	"Human"	24	24	1
"KJ145795.1_198_1382"	"Human"	"Human"	1	1	1
"KJ913662.1_87_1274"	"Human"	"Human"	27	27	1
"KP692115.1_57_1262"	"Human"	"Human"	29	29	1
"KP692117.1_78_1307"	"Human"	"Human"	1	1	1
"KP692118.1_147_1352"	"Human"	"Human"	7	7	1
"KP692124.1_72_1277"	"Human"	"Human"	45	45	1
"KP692175.1_78_1289"	"Human"	"Human"	18	18	1
"KP769769.1_78_1268"	"Human"	"Human"	16	16	1
"KR816167.1_93_1322"	"Human"	"Human"	1	1	1
"KR816169.1_93_1316"	"Human"	"Human"	2	2	1
"KR816171.1_90_1301"	"Human"	"Human"	6	6	1
"KR816172.1_123_1331"	"Human"	"Human"	4	4	1
"KR816174.1_96_1307"	"Human"	"Human"	21	21	1
"KR816176.1_141_1355"	"Human"	"Human"	25	25	1
"KR816177.1_135_1355"	"Human"	"Human"	16	16	1
"KR816178.1_90_1301"	"Human"	"Human"	3	3	1
"KR816180.1_141_1346"	"Human"	"Human"	8	8	1
"KR816181.1_114_1322"	"Human"	"Human"	6	6	1
"KT698167.1_93_1304"	"Human"	"Human"	2	2	1
"KX082661.1_135_1328"	"Human"	"Human"	3	3	1
"KX781280.1_135_1352"	"Human"	"Human"	28	28	1
"KX781281.1_141_1355"	"Human"	"Human"	33	33	1
"LR861990.1_147_1349"	"Human"	"Human"	3	3	1
"LR862035.1_138_1343"	"Human"	"Human"	4	4	1
"LR862055.1_237_1439"	"Human"	"Human"	5	5	1
"MF356498.1_93_1304"	"Human"	"Human"	21	21	1
"MF509817.1_78_1304"	"Human"	"Human"	1	1	1
"MF509820.1_105_1316"	"Human"	"Human"	4	4	1
"MF588676.1_252_1430"	"Human"	"Human"	2	2	1
"MF588684.1_141_1334"	"Human"	"Human"	14	14	1
"MF588685.1_90_1301"	"Human"	"Human"	36	36	1
"MF588686.1_90_1298"	"Human"	"Human"	14	14	1
"MF588687.1_123_1331"	"Human"	"Human"	12	12	1
"MF588689.1_171_1370"	"Human"	"Human"	11	11	1
"MF588690.1_60_1265"	"Human"	"Human"	2	2	1
"MF588692.1_69_1280"	"Human"	"Human"	5	5	1
"MF588694.1_48_1259"	"Human"	"Human"	8	8	1
"MF588695.1_78_1289"	"Human"	"Human"	25	25	1
"MF588696.1_222_1436"	"Human"	"Human"	7	7	1
"MF588702.1_138_1343"	"Human"	"Human"	3	3	1
"MF588703.1_141_1343"	"Human"	"Human"	4	4	1
"MF588705.1_144_1358"	"Human"	"Human"	16	16	1
"MF588706.1_93_1298"	"Human"	"Human"	21	21	1
"MF588708.1_165_1379"	"Human"	"Human"	33	33	1
"MF588709.1_105_1319"	"Human"	"Human"	5	5	1
"MF588714.1_78_1304"	"Human"	"Human"	24	24	1
"MF588715.1_105_1328"	"Human"	"Human"	17	17	1
"MF588723.1_75_1295"	"Human"	"Human"	2	2	1
"MF588729.1_135_1340"	"Human"	"Human"	17	17	1
"MF588733.1_60_1256"	"Human"	"Human"	16	16	1
"MF588734.1_90_1307"	"Human"	"Human"	1	1	1
"MF588735.1_147_1361"	"Human"	"Human"	22	22	1
"MF588738.1_114_1331"	"Human"	"Human"	20	20	1
"MF588739.1_147_1361"	"Human"	"Human"	19	19	1
"MF588740.1_72_1280"	"Human"	"Human"	6	6	1
"MF588743.1_72_1289"	"Human"	"Human"	19	19	1
"MF588745.1_90_1292"	"Human"	"Human"	48	48	1
"MF588747.1_156_1376"	"Human"	"Human"	4	4	1
"MF588748.1_141_1355"	"Human"	"Human"	26	26	1
"MF588750.1_135_1352"	"Human"	"Human"	23	23	1
"MF588751.1_144_1364"	"Human"	"Human"	10	10	1
"MF588753.1_69_1286"	"Human"	"Human"	11	11	1
"MF588757.1_54_1325"	"Human"	"Human"	3	3	1
"MF588760.1_105_1310"	"Human"	"Human"	18	18	1
"MF588772.1_69_1274"	"Human"	"Human"	5	5	1
"MF588773.1_72_1265"	"Human"	"Human"	1	1	1
"MF588775.1_138_1334"	"Human"	"Human"	17	17	1
"MF588786.1_135_1364"	"Human"	"Human"	10	10	1
"MF588793.1_75_1283"	"Human"	"Human"	2	2	1
"MG063749.1_87_1307"	"Human"	"Human"	4	4	1
"MG869605.1_99_1313"	"Human"	"Human"	15	15	1
"MG921180.1_138_1343"	"Human"	"Human"	2	2	1
"MH172379.1_90_1298"	"Human"	"Human"	31	31	1
"MH460956.1_99_1298"	"Human"	"Human"	3	3	1
"MH777158.2_90_1307"	"Human"	"Human"	5	5	1
"MH777159.2_48_1259"	"Human"	"Human"	4	4	1
"MH777160.2_96_1310"	"Human"	"Human"	4	4	1
"MH777163.2_93_1310"	"Human"	"Human"	14	14	1
"MH777165.2_93_1286"	"Human"	"Human"	36	36	1
"MH777167.2_90_1307"	"Human"	"Human"	4	4	1
"MH777168.2_105_1328"	"Human"	"Human"	8	8	1
"MH777171.1_120_1313"	"Human"	"Human"	3	3	1
"MH777177.1_123_1325"	"Human"	"Human"	13	13	1
"MH777178.2_90_1304"	"Human"	"Human"	17	17	1
"MH777182.2_147_1361"	"Human"	"Human"	2	2	1
"MH777185.2_90_1280"	"Human"	"Human"	25	25	1
"MH777186.2_78_1307"	"Human"	"Human"	1	1	1
"MH777190.2_57_1286"	"Human"	"Human"	6	6	1
"MH777192.2_99_1313"	"Human"	"Human"	12	12	1
"MH777194.1_99_1298"	"Human"	"Human"	9	9	1
"MH777195.2_78_1307"	"Human"	"Human"	17	17	1
"MH777199.2_93_1286"	"Human"	"Human"	1	1	1
"MH777200.2_72_1262"	"Human"	"Human"	10	10	1
"MH777201.2_141_1364"	"Human"	"Human"	15	15	1
"MH777202.2_168_1397"	"Human"	"Human"	2	2	1
"MH777206.2_105_1325"	"Human"	"Human"	6	6	1
"MH777207.2_93_1304"	"Human"	"Human"	10	10	1
"MH777208.2_81_1304"	"Human"	"Human"	4	4	1
"MH777212.2_90_1307"	"Human"	"Human"	12	12	1
"MH777217.2_72_1280"	"Human"	"Human"	9	9	1
"MH777219.2_87_1289"	"Human"	"Human"	1	1	1
"MH777220.2_105_1319"	"Human"	"Human"	2	2	1
"MH777224.2_60_1280"	"Human"	"Human"	1	1	1
"MH777228.1_111_1310"	"Human"	"Human"	2	2	1
"MH777230.1_105_1319"	"Human"	"Human"	3	3	1
"MH777232.2_75_1280"	"Human"	"Human"	3	3	1
"MH777233.2_90_1298"	"Human"	"Human"	5	5	1
"MH777237.2_126_1355"	"Human"	"Human"	3	3	1
"MH777238.1_81_1304"	"Human"	"Human"	10	10	1
"MH777241.1_171_1382"	"Human"	"Human"	19	19	1
"MH777243.2_117_1328"	"Human"	"Human"	1	1	1
"MH777244.2_96_1292"	"Human"	"Human"	17	17	1
"MH777245.2_69_1289"	"Human"	"Human"	4	4	1
"MH777251.2_69_1286"	"Human"	"Human"	8	8	1
"MH777257.2_141_1355"	"Human"	"Human"	10	10	1
"MH777259.2_132_1331"	"Human"	"Human"	17	17	1
"MH777260.2_69_1289"	"Human"	"Human"	9	9	1
"MH777261.2_93_1310"	"Human"	"Human"	1	1	1
"MH777263.1_105_1316"	"Human"	"Human"	2	2	1
"MH777264.2_123_1319"	"Human"	"Human"	11	11	1
"MH777265.2_60_1277"	"Human"	"Human"	1	1	1
"MH777268.2_72_1274"	"Human"	"Human"	16	16	1
"MH777270.1_96_1307"	"Human"	"Human"	7	7	1
"MH777273.2_138_1343"	"Human"	"Human"	17	17	1
"MH777280.2_72_1280"	"Human"	"Human"	4	4	1
"MH777289.1_135_1364"	"Human"	"Human"	26	26	1
"MH777294.2_72_1289"	"Human"	"Human"	13	13	1
"MH777297.1_84_1295"	"Human"	"Human"	12	12	1
"MH777302.1_105_1328"	"Human"	"Human"	23	23	1
"MH777307.2_69_1286"	"Human"	"Human"	19	19	1
"MH777310.1_69_1292"	"Human"	"Human"	5	5	1
"MH777311.2_93_1310"	"Human"	"Human"	17	17	1
"MH777313.2_84_1301"	"Human"	"Human"	5	5	1
"MH777314.2_69_1268"	"Human"	"Human"	11	11	1
